Ãû³Æ	ItemGenre	DetailType	ParticularType	¶¯»­ÎÄ¼þÃû	¶ÔÓ¦Îï¼þË÷Òý	¿í¶È	¸ß¶È	ËµÃ÷ÎÄ×Ö	ÎåÐÐÊôÐÔ	¼Û¸ñ	µÈ¼¶	ÊÇ·ñµþ·Å	»ù´¡ÊôÐÔ1ÀàÐÍ	»ù´¡ÊôÐÔ1×îÐ¡Öµ	»ù´¡ÊôÐÔ1×î´óÖµ	»ù´¡ÊôÐÔ2ÀàÐÍ	»ù´¡ÊôÐÔ2×îÐ¡Öµ	»ù´¡ÊôÐÔ2×î´óÖµ	»ù´¡ÊôÐÔ3ÀàÐÍ	»ù´¡ÊôÐÔ3×îÐ¡Öµ	»ù´¡ÊôÐÔ3×î´óÖµ	»ù´¡ÊôÐÔ4ÀàÐÍ	»ù´¡ÊôÐÔ4×îÐ¡Öµ	»ù´¡ÊôÐÔ4×î´óÖµ	»ù´¡ÊôÐÔ5ÀàÐÍ	»ù´¡ÊôÐÔ5×îÐ¡Öµ	»ù´¡ÊôÐÔ5×î´óÖµ	»ù´¡ÊôÐÔ6ÀàÐÍ	»ù´¡ÊôÐÔ6×îÐ¡Öµ	»ù´¡ÊôÐÔ6×î´óÖµ	»ù´¡ÊôÐÔ7ÀàÐÍ	»ù´¡ÊôÐÔ7×îÐ¡Öµ	»ù´¡ÊôÐÔ7×î´óÖµ	ÐèÇóÊôÐÔ1ÀàÐÍ	ÐèÇóÊôÐÔ1ÊýÖµ	ÐèÇóÊôÐÔ2ÀàÐÍ	ÐèÇóÊôÐÔ2ÊýÖµ	ÐèÇóÊôÐÔ3ÀàÐÍ	ÐèÇóÊôÐÔ3ÊýÖµ	ÐèÇóÊôÐÔ4ÀàÐÍ	ÐèÇóÊôÐÔ4ÊýÖµ	ÐèÇóÊôÐÔ5ÀàÐÍ	ÐèÇóÊôÐÔ5ÊýÖµ	ÐèÇóÊôÐÔ6ÀàÐÍ	ÐèÇóÊôÐÔ6ÊýÖµ
Sa Di Giíi C« 	0	7	0	\spr\item\equip\cap\obj-ma-cap01-1.spr	28	2	2	§ai cña c¸c tiÓu Sa Di th­êng ®eo. 		25	1	0	30	25	25	31																		36	1	32	30	33	0			38	0		
T¨ng Giíi C« 	0	7	0	\spr\item\equip\cap\obj-ma-cap01-1.spr	28	2	2	§ai cña c¸c tiÓu Sa Di th­êng ®eo. 		63	2	0	30	50	50	31																		36	7	32	50	33	0			38	0		
PhËt Ên Giíi C« 	0	7	0	\spr\item\equip\cap\obj-ma-cap01-1.spr	28	2	2	§ai trªn ®ã cã Ên cña PhËt m«n. 		125	3	0	30	75	75	31																		36	13	32	70	33	0			38	0		
T¨ng Giµ Giíi C« 	0	7	0	\spr\item\equip\cap\obj-ma-cap01-1.spr	28	2	2	§ai cña c¸c tiÓu Sa Di th­êng ®eo. 		200	4	0	30	100	100	31																		36	19	32	90	33	0			38	0		
Kh«n Léc m·o	0	7	0	\spr\item\equip\cap\obj-ma-cap02-1.spr	28	2	2	Mò ®éi b»ng b«ng th­îng h¹ng. 		300	5	0	30	125	125	31																		36	26	32	110	33	0			38	0		
L©m Liªn M·o	0	7	0	\spr\item\equip\cap\obj-ma-cap02-2.spr	28	2	2	Lo¹i m·o lµm tõ nh÷ng lo¹i t¬ ®iÒu th­îng h¹ng. 		450	6	0	30	150	150	31																		36	33	32	130	33	0			38	0		
Phï Dung M·o	0	7	0	\spr\item\equip\cap\obj-ma-cap02-3.spr	28	2	2	C¸c T¨ng L÷ trung ®¼ng th­êng ®eo, lµm b»ng thø lôa th­îng ®¼ng. 		625	7	0	30	175	175	31																		36	40	32	150	33	0			38	0		
ThÈm Lu©n M·o	0	7	0	\spr\item\equip\cap\obj-ma-cap03-1.spr	28	2	2	C¸c T¨ng L÷ trung ®¼ng th­êng ®eo, lµm b»ng thø lôa th­îng ®¼ng. 		800	8	0	30	200	200	31																		36	46	32	170	33	0			38	0		
NiÖm Ninh M·o	0	7	0	\spr\item\equip\cap\obj-ma-cap03-2.spr	28	2	2	C¸c T¨ng L÷ th­îng ®¼ng th­êng ®eo. 		1000	9	0	30	225	225	31																		36	53	32	190	33	0			38	0		
Tú L« m·o	0	7	0	\spr\item\equip\cap\obj-ma-cap03-3.spr	28	2	2	C¸c T¨ng L÷ th­îng ®¼ng th­êng ®eo, trªn cã Ên PhËt, §­êng T¨ng th­êng ®eo nã 		1250	10	0	30	250	250	31																		36	60	32	210	33	0			38	0		
Méc Tr©m	0	7	1	\spr\item\equip\cap\obj-ma-cap04-1.spr	29	2	2	Lo¹i Tr©m C¸c §¹o sÜ th­êng dïng. 		25	1	0	30	20	20	31																		36	1	32	20	33	0			38	0	37	4
Hoµng D­¬ng Méc Tr©m	0	7	1	\spr\item\equip\cap\obj-ma-cap04-1.spr	29	2	2	Lo¹i tr©m ®­îc tinh chÕ tõ c©y Hoµng D­¬ng. 		50	2	0	30	30	30	31																		36	7	32	30	33	0			38	0	37	4
Cµn Kh«n kÕt	0	7	1	\spr\item\equip\cap\obj-ma-cap04-2.spr	28	2	2	Lo¹i ®ai C¸c §¹o sÜ th­êng ®eo. 		100	3	0	30	45	45	31																		36	13	32	40	33	0			38	0	37	4
Th¸i cùc Qu¸n	0	7	1	\spr\item\equip\cap\obj-ma-cap04-3.spr	28	2	2	Lo¹i mò C¸c §¹o sÜ th­êng ®eo. 		175	4	0	30	60	60	31																		36	19	32	50	33	0			38	0	37	4
B¸t Qu¸i C©n	0	7	1	\spr\item\equip\cap\obj-ma-cap05-1.spr	28	2	2	Lo¹i kh¨n §¹o sÜ th­êng quÊn, lµm b»ng lôa th­îng ®¼ng. 		250	5	0	30	75	75	31																		36	26	32	60	33	0			38	0	37	4
Cµn Kh¶m C©n	0	7	1	\spr\item\equip\cap\obj-ma-cap05-2.spr	28	2	2	Lo¹i kh¨n §¹o sÜ th­êng quÊn, lµm b»ng lôa th­îng ®¼ng.. 		375	6	0	30	90	90	31																		36	33	32	70	33	0			38	0	37	4
Ngò Nh¹c Qu¸n	0	7	1	\spr\item\equip\cap\obj-ma-cap05-3.spr	28	2	2	Lo¹i mò §¹o sÜ th­êng quÊn.. 		500	7	0	30	105	105	31																		36	40	32	80	33	0			38	0	37	4
Th­îng Thanh Qu¸n	0	7	1	\spr\item\equip\cap\obj-ma-cap06-1.spr	28	2	2	ChØ cã nh÷ng ®¹o sÜ nµo ®· tu luyÖn ®Õn mét tr×nh ®é nhÊt ®Þnh th× míi cã thÓ ®éi. 		625	8	0	30	120	120	31																		36	46	32	90	33	0			38	0	37	4
Tinh Qu¸n	0	7	1	\spr\item\equip\cap\obj-ma-cap06-2.spr	28	2	2	Lo¹i mò cã kh¾c tªn cña vÞ ®¹o sÜ, th­êng thÊy ë vïng Giang Nam. 		800	9	0	30	135	135	31																		36	53	32	100	33	0			38	0	37	4
Ngò l·o qu¸n	0	7	1	\spr\item\equip\cap\obj-ma-cap06-3.spr	28	2	2	Lµ mét trong nh÷ng lo¹i mò th­îng ®¼ng. 		1000	10	0	30	150	150	31																		36	60	32	110	33	0			38	0	37	4
Tróc L¹p	0	7	2	\spr\item\equip\cap\obj-ma-cap07-1.spr	28	2	2	Lo¹i mò th­êng thÊy ë vïng Giang Nam. 		25	1	0	30	40	40	31																		36	1	32	30	33	20			38	0		
Ng­ L¹p	0	7	2	\spr\item\equip\cap\obj-ma-cap07-1.spr	28	2	2	lo¹i mò ng­ gia th­êng ®éi. 		75	2	0	30	68	68	31																		36	7	32	50	33	30			38	0		
ThÈm L« Th¶o M·o	0	7	2	\spr\item\equip\cap\obj-ma-cap07-2.spr	28	2	2	Lo¹i mò ®­îc tinh chÕ tõ nh÷ng loµi cá quý hiÕm. 		150	3	0	30	96	96	31																		36	13	32	70	33	40			38	0		
