ITEM_TYPE	GENRE	DETAIL	PARTICULAR	NAME
Chñng lo¹i vËt phÈm	Lo¹i lín	Ph©n lo¹i	Lo¹i nhá 	Tªn
PKEX	6	1	2837	Hoµn Hån §¬n
PKEX	6	1	2831	Tiªu Diªu T¸n
PKEX	6	1	2830	Hoµn Hån §¬n LÔ Bao
				
LEAGUE	6	1	2952	KÝch C«ng Trî Lùc Hoµn
LEAGUE	6	1	2953	¢m D­¬ng Ho¹t HuyÕt §¬n

CITYWAR	6	1	29	Hçn Th¹ch LiÖt 
CITYWAR	6	1	30	NghiÖt Long Xung Xa
CITYWAR	6	1	31	V©n Kú Binh phï 
CITYWAR	6	1	32	Ngoan Cæ Binh phï 

SONGJIN	6	1	158	Binh SÜ hiÖu phï 
SONGJIN	6	1	160	Kim Chi ChiÕn Hån 
SONGJIN	6	1	161	Méc Chi ChiÕn Hån 
SONGJIN	6	1	162	Thñy Chi ChiÕn Hån 
SONGJIN	6	1	163	Háa Chi ChiÕn Hån 
SONGJIN	6	1	164	Thæ Chi ChiÕn Hån 
SONGJIN	6	1	165	Kim Chi Hé gi¸p  
SONGJIN	6	1	166	Méc Chi Hé gi¸p  
SONGJIN	6	1	167	Thñy Chi Hé gi¸p  
SONGJIN	6	1	168	Háa Chi Hé gi¸p  
SONGJIN	6	1	169	Thæ Chi Hé gi¸p  
SONGJIN	6	1	170	Kim Chi Lîi NhËn
SONGJIN	6	1	171	Méc Chi Lîi NhËn
SONGJIN	6	1	172	Thñy Chi Lîi NhËn
SONGJIN	6	1	173	Háa Chi Lîi NhËn
SONGJIN	6	1	174	Thæ Chi Lîi NhËn
SONGJIN	6	1	175	Hµnh qu©n ®¬n 
SONGJIN	6	1	176	TiÓu hoµn ®¬n 
SONGJIN	6	1	177	Ngò Hoa Lé 
SONGJIN	6	1	178	Tèng Kim Ngo¹i Phæ hoµn
SONGJIN	6	1	179	Tèng Kim Ngo¹i §éc hoµn
SONGJIN	6	1	180	Tèng Kim Ngo¹i B¨ng hoµn
SONGJIN	6	1	181	Tèng Kim Néi Phæ hoµn
SONGJIN	6	1	182	Tèng Kim Néi §éc hoµn
SONGJIN	6	1	183	Tèng Kim Néi B¨ng hoµn
SONGJIN	6	1	184	Tèng Kim Néi Háa hoµn
SONGJIN	6	1	185	Tèng Kim Néi L«i hoµn
SONGJIN	6	1	186	Tèng Kim Tr­êng MÖnh hoµn
SONGJIN	6	1	187	Tèng Kim Gia Bµo hoµn
SONGJIN	6	1	188	Tèng Kim Cao ThiÓm hoµn
SONGJIN	6	1	189	Tèng Kim Cao Trung hoµn
SONGJIN	6	1	190	Tèng Kim Phi Tèc hoµn
SONGJIN	6	1	191	Tèng Kim Phæ Phßng hoµn
SONGJIN	6	1	192	Tèng Kim B¨ng Phßng hoµn
SONGJIN	6	1	193	Chuyªn dïng cho Tèng Kim L«i phßng hoµn
SONGJIN	6	1	194	Chuyªn dïng cho Tèng Kim Háa phßng hoµn
SONGJIN	6	1	195	Chuyªn dïng cho Tèng Kim §éc phßng hoµn
SONGJIN	6	1	207	TËt phong ngoa 
SONGJIN	6	1	208	Tam Thanh Chi KhÝ 
SONGJIN	6	1	209	B¹ch C©u Hé uyÓn
SONGJIN	6	1	210	HËu NghÖ Chi Nh·n 
SONGJIN	6	1	211	ThÇn bÝ vËt phÈm 
SONGJIN	6	1	212	Bå c©u 
SONGJIN	6	1	214	Kh¸ng §¬n Chi Gi¸c 
SONGJIN	6	1	215	Cµn Kh«n T¹o Hãa §an (®¹i) 
SONGJIN	6	1	216	Cµn Kh«n T¹o Hãa §an (trung) 
SONGJIN	6	1	217	Cµn Kh«n T¹o Hãa §an (tiÓu) 
SONGJIN	6	1	393	Xuyªn T©m LÖnh
SONGJIN	6	1	394	§éc ThÝch lÖnh
SONGJIN	6	1	395	Hµn B¨ng lÖnh
SONGJIN	6	1	396	§Þa Háa lÖnh
SONGJIN	6	1	397	L«i KÝch lÖnh

SONGJIN_SP	6	1	158	Binh SÜ hiÖu phï 
SONGJIN_SP	6	1	212	Bå c©u 
SONGJIN_SP	6	1	159	Cê hiÖu 
