EqName	FreeStand1	FreeStand2	FreeStand3	MeleeWStand	RangeWStand	DoubleWStand	FreeWalk	NormalWalk	MeleeWWalk	RangeWWalk	DoubleWWalk	FreeRun	NormalRun	MeleeWRun	RangeWRun	DoubleWRun	FreeWound	MeleeWWound	RangeWWound	DoubleWWound	FreeDie	MeleeWDie	RangeWDie	DoubleWDie	FreeAttack	MeleeWPuncture	MeleeWCut	RangeWPuncture	RangeWCut	DoubleWPull	DoubleWPound	DartThrow	FreeMagic	MeleeWMagic	RangeWMagic	DoubleWMagic	SitDown	Jump	RideStand	RideWalk	RideRun	RideCut	RidePuncture	RideMagic	RideWound	RideDie	RideStand1	RideStand2
Ngua ress 2																																							MA_HH_001_RD01.spr	MA_HH_001_HW01.spr	MA_HH_001_HR01.spr	MA_HH_001_HA01.spr	MA_HH_001_HA02.spr	MA_HH_001_HM01.spr	MA_HH_001_HI01.spr	MA_HH_001_HD01.spr	MA_HH_001_RD02.spr	MA_HH_001_RD03.spr
Ngua ress 3																																							MA_HH_002_RD01.spr	MA_HH_002_HW01.spr	MA_HH_002_HR01.spr	MA_HH_002_HA01.spr	MA_HH_002_HA02.spr	MA_HH_002_HM01.spr	MA_HH_002_HI01.spr	MA_HH_002_HD01.spr	MA_HH_002_RD02.spr	MA_HH_002_RD03.spr
Ngua ress 4																																							MA_HH_003_RD01.spr	MA_HH_003_HW01.spr	MA_HH_003_HR01.spr	MA_HH_003_HA01.spr	MA_HH_003_HA02.spr	MA_HH_003_HM01.spr	MA_HH_003_HI01.spr	MA_HH_003_HD01.spr	MA_HH_003_RD02.spr	MA_HH_003_RD03.spr
Ngua ress 5																																							MA_HH_004_RD01.spr	MA_HH_004_HW01.spr	MA_HH_004_HR01.spr	MA_HH_004_HA01.spr	MA_HH_004_HA02.spr	MA_HH_004_HM01.spr	MA_HH_004_HI01.spr	MA_HH_004_HD01.spr	MA_HH_004_RD02.spr	MA_HH_004_RD03.spr
Ngua ress 6																																							MA_HH_005_RD01.spr	MA_HH_005_HW01.spr	MA_HH_005_HR01.spr	MA_HH_005_HA01.spr	MA_HH_005_HA02.spr	MA_HH_005_HM01.spr	MA_HH_005_HI01.spr	MA_HH_005_HD01.spr	MA_HH_005_RD02.spr	MA_HH_005_RD03.spr
Ngua ress 7																																							MA_HH_006_RD01.spr	MA_HH_006_HW01.spr	MA_HH_006_HR01.spr	MA_HH_006_HA01.spr	MA_HH_006_HA02.spr	MA_HH_006_HM01.spr	MA_HH_006_HI01.spr	MA_HH_006_HD01.spr	MA_HH_006_RD02.spr	MA_HH_006_RD03.spr
Ngua ress 8																																							MA_HH_007_RD01.spr	MA_HH_007_HW01.spr	MA_HH_007_HR01.spr	MA_HH_007_HA01.spr	MA_HH_007_HA02.spr	MA_HH_007_HM01.spr	MA_HH_007_HI01.spr	MA_HH_007_HD01.spr	MA_HH_007_RD02.spr	MA_HH_007_RD03.spr
Ngua ress 9																																							MA_HH_008_RD01.spr	MA_HH_008_HW01.spr	MA_HH_008_HR01.spr	MA_HH_008_HA01.spr	MA_HH_008_HA02.spr	MA_HH_008_HM01.spr	MA_HH_008_HI01.spr	MA_HH_008_HD01.spr	MA_HH_008_RD02.spr	MA_HH_008_RD03.spr
Ngua ress 10																																							MA_HH_009_RD01.spr	MA_HH_009_HW01.spr	MA_HH_009_HR01.spr	MA_HH_009_HA01.spr	MA_HH_009_HA02.spr	MA_HH_009_HM01.spr	MA_HH_009_HI01.spr	MA_HH_009_HD01.spr	MA_HH_009_RD02.spr	MA_HH_009_RD03.spr
Ngua ress 11																																							MA_HH_010_RD01.spr	MA_HH_010_HW01.spr	MA_HH_010_HR01.spr	MA_HH_010_HA01.spr	MA_HH_010_HA02.spr	MA_HH_010_HM01.spr	MA_HH_010_HI01.spr	MA_HH_010_HD01.spr	MA_HH_010_RD02.spr	MA_HH_010_RD03.spr
