EqName	SwordShieldWFreeStand	ShieldSwordWFreeStand	FreeStand1	FreeStand2	FreeStand3	MeleeWStand	RangeWStand	DoubleWStand	SwordShieldWStand	ShieldSwordWStand	GuqinWStand1	GuqinWStand2	FreeWalk	NormalWalk	MeleeWWalk	RangeWWalk	DoubleWWalk	SwordShieldWWalk	ShieldSwordWWalk	GuqinWWalk	FreeRun	NormalRun	MeleeWRun	RangeWRun	DoubleWRun	SwordShieldWRun	ShieldSwordWRun	GuqinWRun	FreeWound	MeleeWWound	RangeWWound	DoubleWWound	SwordShieldWWound	ShieldSwordWWound	GuqinWWound	FreeDie	MeleeWDie	RangeWDie	DoubleWDie	SwordShieldWDie	ShieldSwordWDie	GuqinWDie	FreeAttack	MeleeWPuncture	MeleeWCut	RangeWPuncture	RangeWCut	DoubleWPull	DoubleWPound	SwordShieldWChop	SwordShieldWCut	ShieldSwordWChop	ShieldSwordWCut	GuqinWPuncture	GuqinWCut	DartThrow	FreeMagic	MeleeWMagic	RangeWMagic	DoubleWMagic	SwordShieldWMagic	ShieldSwordWMagic	GuqinWMagic	SitDown	Jump	RideStand	RideWalk	RideRun	RideCut	RidePuncture	RideMagic	RideWound	RideDie	RideStand1	RideStand2	ChangeColor
Tay kh«ng	120,8,1	120,8,1	120,8,1	120,8,1	88,8,1	88,8,1							120,8,1	120,8,1	120,8,1						88,8,1	88,8,1	88,8,1						72,8,1	64,8,1						96,8,1	88,8,1						144,8,1	128,8,1	112,8,1											128,8,1	96,8,1	96,8,1						72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1	
®¬n thñ kiÕm 1	120,8,1	120,8,1	120,8,1	120,8,1	88,8,1	88,8,1							120,8,1	120,8,1	120,8,1						88,8,1	88,8,1	88,8,1						72,8,1	64,8,1						96,8,1	88,8,1						144,8,1	128,8,1	112,8,1											128,8,1	96,8,1	96,8,1						72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1	
®¬n thñ kiÕm 2	120,8,1	120,8,1	120,8,1	120,8,1	88,8,1	88,8,1							120,8,1	120,8,1	120,8,1						88,8,1	88,8,1	88,8,1						72,8,1	64,8,1						96,8,1	88,8,1						144,8,1	128,8,1	112,8,1											128,8,1	96,8,1	96,8,1						72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1	
®¬n thñ kiÕm 3	120,8,1	120,8,1	120,8,1	120,8,1	88,8,1	88,8,1							120,8,1	120,8,1	120,8,1						88,8,1	88,8,1	88,8,1						72,8,1	64,8,1						96,8,1	88,8,1						144,8,1	128,8,1	112,8,1											128,8,1	96,8,1	96,8,1						72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1	
®¬n thñ ®ao 1	120,8,1	120,8,1	120,8,1	120,8,1	88,8,1	88,8,1							120,8,1	120,8,1	120,8,1						88,8,1	88,8,1	88,8,1						72,8,1	64,8,1						96,8,1	88,8,1						144,8,1	128,8,1	112,8,1											128,8,1	96,8,1	96,8,1						72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1	
®¬n thñ ®ao 2	120,8,1	120,8,1	120,8,1	120,8,1	88,8,1	88,8,1							120,8,1	120,8,1	120,8,1						88,8,1	88,8,1	88,8,1						72,8,1	64,8,1						96,8,1	88,8,1						144,8,1	128,8,1	112,8,1											128,8,1	96,8,1	96,8,1						72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1	
®¬n thñ ®ao 3	120,8,1	120,8,1	120,8,1	120,8,1	88,8,1	88,8,1							120,8,1	120,8,1	120,8,1						88,8,1	88,8,1	88,8,1						72,8,1	64,8,1						96,8,1	88,8,1						144,8,1	128,8,1	112,8,1											128,8,1	96,8,1	96,8,1						72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1	
Lo¹i tr­êng th­¬ng 1	120,8,1	120,8,1	120,8,1	120,8,1	88,8,1	88,8,1							120,8,1	120,8,1	120,8,1						88,8,1	88,8,1	88,8,1						72,8,1	64,8,1						96,8,1	88,8,1						144,8,1	128,8,1	112,8,1											128,8,1	96,8,1	96,8,1						72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1	
Lo¹i tr­êng th­¬ng 2	120,8,1	120,8,1	120,8,1	120,8,1	88,8,1	88,8,1							120,8,1	120,8,1	120,8,1						88,8,1	88,8,1	88,8,1						72,8,1	64,8,1						96,8,1	88,8,1						144,8,1	128,8,1	112,8,1											128,8,1	96,8,1	96,8,1						72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1	
Lo¹i tr­êng th­¬ng 3	120,8,1	120,8,1	120,8,1	120,8,1	88,8,1	88,8,1							120,8,1	120,8,1	120,8,1						88,8,1	88,8,1	88,8,1						72,8,1	64,8,1						96,8,1	88,8,1						144,8,1	128,8,1	112,8,1											128,8,1	96,8,1	96,8,1						72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1	
Lo¹i tr­êng c«n 1	120,8,1	120,8,1	120,8,1	120,8,1	88,8,1	88,8,1							120,8,1	120,8,1	120,8,1						88,8,1	88,8,1	88,8,1						72,8,1	64,8,1						96,8,1	88,8,1						144,8,1	128,8,1	112,8,1											128,8,1	96,8,1	96,8,1						72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1	
Lo¹i tr­êng c«n 2	120,8,1	120,8,1	120,8,1	120,8,1	88,8,1	88,8,1							120,8,1	120,8,1	120,8,1						88,8,1	88,8,1	88,8,1						72,8,1	64,8,1						96,8,1	88,8,1						144,8,1	128,8,1	112,8,1											128,8,1	96,8,1	96,8,1						72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1	
Lo¹i tr­êng c«n 3	120,8,1	120,8,1	120,8,1	120,8,1	88,8,1	88,8,1							120,8,1	120,8,1	120,8,1						88,8,1	88,8,1	88,8,1						72,8,1	64,8,1						96,8,1	88,8,1						144,8,1	128,8,1	112,8,1											128,8,1	96,8,1	96,8,1						72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1	
Lo¹i Song kiÕm 1	120,8,1	120,8,1	120,8,1	120,8,1	88,8,1	88,8,1		88,8,1					120,8,1	120,8,1	120,8,1		120,8,1				88,8,1	88,8,1	88,8,1		88,8,1				72,8,1	64,8,1		96,8,1				96,8,1	88,8,1		144,8,1				144,8,1	128,8,1	112,8,1			128,8,1	96,8,1							128,8,1	96,8,1	96,8,1		128,8,1				72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1	
Lo¹i Song kiÕm 2	120,8,1	120,8,1	120,8,1	120,8,1	88,8,1	88,8,1		88,8,1					120,8,1	120,8,1	120,8,1		120,8,1				88,8,1	88,8,1	88,8,1		88,8,1				72,8,1	64,8,1		96,8,1				96,8,1	88,8,1		144,8,1				144,8,1	128,8,1	112,8,1			128,8,1	96,8,1							128,8,1	96,8,1	96,8,1		128,8,1				72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1	
Lo¹i Song kiÕm 3	120,8,1	120,8,1	120,8,1	120,8,1	88,8,1	88,8,1		88,8,1					120,8,1	120,8,1	120,8,1		120,8,1				88,8,1	88,8,1	88,8,1		88,8,1				72,8,1	64,8,1		96,8,1				96,8,1	88,8,1		144,8,1				144,8,1	128,8,1	112,8,1			128,8,1	96,8,1							128,8,1	96,8,1	96,8,1		128,8,1				72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1	
Lo¹i Song chïy 1	120,8,1	120,8,1	120,8,1	120,8,1	88,8,1	88,8,1		88,8,1					120,8,1	120,8,1	120,8,1		120,8,1				88,8,1	88,8,1	88,8,1		88,8,1				72,8,1	64,8,1		96,8,1				96,8,1	88,8,1		144,8,1				144,8,1	128,8,1	112,8,1			128,8,1	96,8,1							128,8,1	96,8,1	96,8,1		128,8,1				72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1	
Lo¹i Song chïy 2	120,8,1	120,8,1	120,8,1	120,8,1	88,8,1	88,8,1		88,8,1					120,8,1	120,8,1	120,8,1		120,8,1				88,8,1	88,8,1	88,8,1		88,8,1				72,8,1	64,8,1		96,8,1				96,8,1	88,8,1		144,8,1				144,8,1	128,8,1	112,8,1			128,8,1	96,8,1							128,8,1	96,8,1	96,8,1		128,8,1				72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1	
Lo¹i Song chïy 3	120,8,1	120,8,1	120,8,1	120,8,1	88,8,1	88,8,1		88,8,1					120,8,1	120,8,1	120,8,1		120,8,1				88,8,1	88,8,1	88,8,1		88,8,1				72,8,1	64,8,1		96,8,1				96,8,1	88,8,1		144,8,1				144,8,1	128,8,1	112,8,1			128,8,1	96,8,1							128,8,1	96,8,1	96,8,1		128,8,1				72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1	
¸m khÝ 	120,8,1	120,8,1	120,8,1	120,8,1	88,8,1	88,8,1							120,8,1	120,8,1	120,8,1						88,8,1	88,8,1	88,8,1						72,8,1	64,8,1						96,8,1	88,8,1						144,8,1	128,8,1	112,8,1											128,8,1	96,8,1	96,8,1						72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1	
®¬n thñ kiÕm 4	120,8,1	120,8,1	120,8,1	120,8,1	88,8,1	88,8,1							120,8,1	120,8,1	120,8,1						88,8,1	88,8,1	88,8,1						72,8,1	64,8,1						96,8,1	88,8,1						144,8,1	128,8,1	112,8,1											128,8,1	96,8,1	96,8,1						72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1	
®¬n thñ kiÕm 5	120,8,1	120,8,1	120,8,1	120,8,1	88,8,1	88,8,1							120,8,1	120,8,1	120,8,1						88,8,1	88,8,1	88,8,1						72,8,1	64,8,1						96,8,1	88,8,1						144,8,1	128,8,1	112,8,1											128,8,1	96,8,1	96,8,1						72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1	
®¬n thñ ®ao 4	120,8,1	120,8,1	120,8,1	120,8,1	88,8,1	88,8,1							120,8,1	120,8,1	120,8,1						88,8,1	88,8,1	88,8,1						72,8,1	64,8,1						96,8,1	88,8,1						144,8,1	128,8,1	112,8,1											128,8,1	96,8,1	96,8,1						72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1	
®¬n thñ ®ao 5	120,8,1	120,8,1	120,8,1	120,8,1	88,8,1	88,8,1							120,8,1	120,8,1	120,8,1						88,8,1	88,8,1	88,8,1						72,8,1	64,8,1						96,8,1	88,8,1						144,8,1	128,8,1	112,8,1											128,8,1	96,8,1	96,8,1						72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1	
Lo¹i tr­êng th­¬ng 4	120,8,1	120,8,1	120,8,1	120,8,1	88,8,1	88,8,1							120,8,1	120,8,1	120,8,1						88,8,1	88,8,1	88,8,1						72,8,1	64,8,1						96,8,1	88,8,1						144,8,1	128,8,1	112,8,1											128,8,1	96,8,1	96,8,1						72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1	
Lo¹i tr­êng th­¬ng 5	120,8,1	120,8,1	120,8,1	120,8,1	88,8,1	88,8,1							120,8,1	120,8,1	120,8,1						88,8,1	88,8,1	88,8,1						72,8,1	64,8,1						96,8,1	88,8,1						144,8,1	128,8,1	112,8,1											128,8,1	96,8,1	96,8,1						72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1	
Lo¹i tr­êng c«n 4	120,8,1	120,8,1	120,8,1	120,8,1	88,8,1	88,8,1							120,8,1	120,8,1	120,8,1						88,8,1	88,8,1	88,8,1						72,8,1	64,8,1						96,8,1	88,8,1						144,8,1	128,8,1	112,8,1											128,8,1	96,8,1	96,8,1						72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1	
Lo¹i tr­êng c«n 5	120,8,1	120,8,1	120,8,1	120,8,1	88,8,1	88,8,1							120,8,1	120,8,1	120,8,1						88,8,1	88,8,1	88,8,1						72,8,1	64,8,1						96,8,1	88,8,1						144,8,1	128,8,1	112,8,1											128,8,1	96,8,1	96,8,1						72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1	
Lo¹i Song kiÕm 4	120,8,1	120,8,1	120,8,1	120,8,1	88,8,1	88,8,1		88,8,1					120,8,1	120,8,1	120,8,1		120,8,1				88,8,1	88,8,1	88,8,1		88,8,1				72,8,1	64,8,1		96,8,1				96,8,1	88,8,1		144,8,1				144,8,1	128,8,1	112,8,1			128,8,1	96,8,1							128,8,1	96,8,1	96,8,1		128,8,1				72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1	
Lo¹i Song kiÕm 5	120,8,1	120,8,1	120,8,1	120,8,1	88,8,1	88,8,1		88,8,1					120,8,1	120,8,1	120,8,1		120,8,1				88,8,1	88,8,1	88,8,1		88,8,1				72,8,1	64,8,1		96,8,1				96,8,1	88,8,1		144,8,1				144,8,1	128,8,1	112,8,1			128,8,1	96,8,1							128,8,1	96,8,1	96,8,1		128,8,1				72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1	
Lo¹i Song chïy 4	120,8,1	120,8,1	120,8,1	120,8,1	88,8,1	88,8,1		88,8,1					120,8,1	120,8,1	120,8,1		120,8,1				88,8,1	88,8,1	88,8,1		88,8,1				72,8,1	64,8,1		96,8,1				96,8,1	88,8,1		144,8,1				144,8,1	128,8,1	112,8,1			128,8,1	96,8,1							128,8,1	96,8,1	96,8,1		128,8,1				72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1	
Lo¹i Song chïy 5	120,8,1	120,8,1	120,8,1	120,8,1	88,8,1	88,8,1		88,8,1					120,8,1	120,8,1	120,8,1		120,8,1				88,8,1	88,8,1	88,8,1		88,8,1				72,8,1	64,8,1		96,8,1				96,8,1	88,8,1		144,8,1				144,8,1	128,8,1	112,8,1			128,8,1	96,8,1							128,8,1	96,8,1	96,8,1		128,8,1				72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1	
<<Î´·­Òë>>	120,8,1	120,8,1	120,8,1	120,8,1	88,8,1	88,8,1							120,8,1	120,8,1	120,8,1						88,8,1	88,8,1	88,8,1						72,8,1	64,8,1						96,8,1	88,8,1						144,8,1	128,8,1	112,8,1											128,8,1	96,8,1	96,8,1						72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1	
<<Î´·­Òë>>	120,8,1	120,8,1	120,8,1	120,8,1	88,8,1	88,8,1							120,8,1	120,8,1	120,8,1						88,8,1	88,8,1	88,8,1						72,8,1	64,8,1						96,8,1	88,8,1						144,8,1	128,8,1	112,8,1											128,8,1	96,8,1	96,8,1						72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1	
