EqName	FreeStand1	FreeStand2	FreeStand3	MeleeWStand	RangeWStand	DoubleWStand	FreeWalk	NormalWalk	MeleeWWalk	RangeWWalk	DoubleWWalk	FreeRun	NormalRun	MeleeWRun	RangeWRun	DoubleWRun	FreeWound	MeleeWWound	RangeWWound	DoubleWWound	FreeDie	MeleeWDie	RangeWDie	DoubleWDie	FreeAttack	MeleeWPuncture	MeleeWCut	RangeWPuncture	RangeWCut	DoubleWPull	DoubleWPound	DartThrow	FreeMagic	MeleeWMagic	RangeWMagic	DoubleWMagic	SitDown	Jump	RideStand	RideWalk	RideRun	RideCut	RidePuncture	RideMagic	RideWound	RideDie	RideStand1	RideStand2
Ngua ress 2																																							..\man\MA_HT_001_RD01.spr	..\man\MA_HT_001_HW01.spr	..\man\MA_HT_001_HR01.spr	..\man\MA_HT_001_HA01.spr	..\man\MA_HT_001_HA02.spr	..\man\MA_HT_001_HM01.spr	..\man\MA_HT_001_HI01.spr	..\man\MA_HT_001_HD01.spr	..\man\MA_HT_001_RD02.spr	..\man\MA_HT_001_RD03.spr
Ngua ress 3																																							..\man\MA_HT_002_RD01.spr	..\man\MA_HT_002_HW01.spr	..\man\MA_HT_002_HR01.spr	..\man\MA_HT_002_HA01.spr	..\man\MA_HT_002_HA02.spr	..\man\MA_HT_002_HM01.spr	..\man\MA_HT_002_HI01.spr	..\man\MA_HT_002_HD01.spr	..\man\MA_HT_002_RD02.spr	..\man\MA_HT_002_RD03.spr
Ngua ress 4																																							..\man\MA_HT_003_RD01.spr	..\man\MA_HT_003_HW01.spr	..\man\MA_HT_003_HR01.spr	..\man\MA_HT_003_HA01.spr	..\man\MA_HT_003_HA02.spr	..\man\MA_HT_003_HM01.spr	..\man\MA_HT_003_HI01.spr	..\man\MA_HT_003_HD01.spr	..\man\MA_HT_003_RD02.spr	..\man\MA_HT_003_RD03.spr
Ngua ress 5																																							..\man\MA_HT_004_RD01.spr	..\man\MA_HT_004_HW01.spr	..\man\MA_HT_004_HR01.spr	..\man\MA_HT_004_HA01.spr	..\man\MA_HT_004_HA02.spr	..\man\MA_HT_004_HM01.spr	..\man\MA_HT_004_HI01.spr	..\man\MA_HT_004_HD01.spr	..\man\MA_HT_004_RD02.spr	..\man\MA_HT_004_RD03.spr
Ngua ress 6																																							..\man\MA_HT_005_RD01.spr	..\man\MA_HT_005_HW01.spr	..\man\MA_HT_005_HR01.spr	..\man\MA_HT_005_HA01.spr	..\man\MA_HT_005_HA02.spr	..\man\MA_HT_005_HM01.spr	..\man\MA_HT_005_HI01.spr	..\man\MA_HT_005_HD01.spr	..\man\MA_HT_005_RD02.spr	..\man\MA_HT_005_RD03.spr
Ngua ress 7																																							..\man\MA_HT_006_RD01.spr	..\man\MA_HT_006_HW01.spr	..\man\MA_HT_006_HR01.spr	..\man\MA_HT_006_HA01.spr	..\man\MA_HT_006_HA02.spr	..\man\MA_HT_006_HM01.spr	..\man\MA_HT_006_HI01.spr	..\man\MA_HT_006_HD01.spr	..\man\MA_HT_006_RD02.spr	..\man\MA_HT_006_RD03.spr
Ngua ress 8																																							..\man\MA_HT_007_RD01.spr	..\man\MA_HT_007_HW01.spr	..\man\MA_HT_007_HR01.spr	..\man\MA_HT_007_HA01.spr	..\man\MA_HT_007_HA02.spr	..\man\MA_HT_007_HM01.spr	..\man\MA_HT_007_HI01.spr	..\man\MA_HT_007_HD01.spr	..\man\MA_HT_007_RD02.spr	..\man\MA_HT_007_RD03.spr
Ngua ress 9																																							..\man\MA_HT_008_RD01.spr	..\man\MA_HT_008_HW01.spr	..\man\MA_HT_008_HR01.spr	..\man\MA_HT_008_HA01.spr	..\man\MA_HT_008_HA02.spr	..\man\MA_HT_008_HM01.spr	..\man\MA_HT_008_HI01.spr	..\man\MA_HT_008_HD01.spr	..\man\MA_HT_008_RD02.spr	..\man\MA_HT_008_RD03.spr
Ngua ress 10																																							..\man\MA_HT_009_RD01.spr	..\man\MA_HT_009_HW01.spr	..\man\MA_HT_009_HR01.spr	..\man\MA_HT_009_HA01.spr	..\man\MA_HT_009_HA02.spr	..\man\MA_HT_009_HM01.spr	..\man\MA_HT_009_HI01.spr	..\man\MA_HT_009_HD01.spr	..\man\MA_HT_009_RD02.spr	..\man\MA_HT_009_RD03.spr
Ngua ress 11																																							..\man\MA_HT_010_RD01.spr	..\man\MA_HT_010_HW01.spr	..\man\MA_HT_010_HR01.spr	..\man\MA_HT_010_HA01.spr	..\man\MA_HT_010_HA02.spr	..\man\MA_HT_010_HM01.spr	..\man\MA_HT_010_HI01.spr	..\man\MA_HT_010_HD01.spr	..\man\MA_HT_010_RD02.spr	..\man\MA_HT_010_RD03.spr
Ngua ress 12																																							..\man\MA_HT_011_RD01.spr	..\man\MA_HT_011_HW01.spr	..\man\MA_HT_011_HR01.spr	..\man\MA_HT_011_HA01.spr	..\man\MA_HT_011_HA02.spr	..\man\MA_HT_011_HM01.spr	..\man\MA_HT_011_HI01.spr	..\man\MA_HT_011_HD01.spr	..\man\MA_HT_011_RD02.spr	..\man\MA_HT_011_RD03.spr
Ngua ress 13																																							..\man\MA_HT_012_RD01.spr	..\man\MA_HT_012_HW01.spr	..\man\MA_HT_012_HR01.spr	..\man\MA_HT_012_HA01.spr	..\man\MA_HT_012_HA02.spr	..\man\MA_HT_012_HM01.spr	..\man\MA_HT_012_HI01.spr	..\man\MA_HT_012_HD01.spr	..\man\MA_HT_012_RD02.spr	..\man\MA_HT_012_RD03.spr
Ngua ress 14																																							..\man\MA_HT_013_RD01.spr	..\man\MA_HT_013_HW01.spr	..\man\MA_HT_013_HR01.spr	..\man\MA_HT_013_HA01.spr	..\man\MA_HT_013_HA02.spr	..\man\MA_HT_013_HM01.spr	..\man\MA_HT_013_HI01.spr	..\man\MA_HT_013_HD01.spr	..\man\MA_HT_013_RD02.spr	..\man\MA_HT_013_RD03.spr
Ngua ress 15																																							..\man\MA_HT_014_RD01.spr	..\man\MA_HT_014_HW01.spr	..\man\MA_HT_014_HR01.spr	..\man\MA_HT_014_HA01.spr	..\man\MA_HT_014_HA02.spr	..\man\MA_HT_014_HM01.spr	..\man\MA_HT_014_HI01.spr	..\man\MA_HT_014_HD01.spr	..\man\MA_HT_014_RD02.spr	..\man\MA_HT_014_RD03.spr
Ngua ress 16																																							..\man\MA_HT_016_RD01.spr	..\man\MA_HT_016_HW01.spr	..\man\MA_HT_016_HR01.spr	..\man\MA_HT_016_HA01.spr	..\man\MA_HT_016_HA02.spr	..\man\MA_HT_016_HM01.spr	..\man\MA_HT_016_HI01.spr	..\man\MA_HT_016_HD01.spr	..\man\MA_HT_016_RD02.spr	..\man\MA_HT_016_RD03.spr
Ngua ress 17																																							..\man\MA_HT_017_RD01.spr	..\man\MA_HT_017_HW01.spr	..\man\MA_HT_017_HR01.spr	..\man\MA_HT_017_HA01.spr	..\man\MA_HT_017_HA02.spr	..\man\MA_HT_017_HM01.spr	..\man\MA_HT_017_HI01.spr	..\man\MA_HT_017_HD01.spr	..\man\MA_HT_017_RD02.spr	..\man\MA_HT_017_RD03.spr
Ngua ress 18																																							..\man\MA_HT_018_RD01.spr	..\man\MA_HT_018_HW01.spr	..\man\MA_HT_018_HR01.spr	..\man\MA_HT_018_HA01.spr	..\man\MA_HT_018_HA02.spr	..\man\MA_HT_018_HM01.spr	..\man\MA_HT_018_HI01.spr	..\man\MA_HT_018_HD01.spr	..\man\MA_HT_018_RD02.spr	..\man\MA_HT_018_RD03.spr
Ngua ress 19																																							..\man\MA_HT_019_RD01.spr	..\man\MA_HT_019_HW01.spr	..\man\MA_HT_019_HR01.spr	..\man\MA_HT_019_HA01.spr	..\man\MA_HT_019_HA02.spr	..\man\MA_HT_019_HM01.spr	..\man\MA_HT_019_HI01.spr	..\man\MA_HT_019_HD01.spr	..\man\MA_HT_019_RD02.spr	..\man\MA_HT_019_RD03.spr
Ngua ress 20																																							..\man\MA_HT_030_RD01.spr	..\man\MA_HT_030_HW01.spr	..\man\MA_HT_030_HR01.spr	..\man\MA_HT_030_HA01.spr	..\man\MA_HT_030_HA02.spr	..\man\MA_HT_030_HM01.spr	..\man\MA_HT_030_HI01.spr	..\man\MA_HT_030_HD01.spr	..\man\MA_HT_030_RD01.spr	..\man\MA_HT_030_RD01.spr
Ngua ress 21																																							..\man\MA_HT_031_RD01.spr	..\man\MA_HT_031_HW01.spr	..\man\MA_HT_031_HR01.spr	..\man\MA_HT_031_HA01.spr	..\man\MA_HT_031_HA02.spr	..\man\MA_HT_031_HM01.spr	..\man\MA_HT_031_HI01.spr	..\man\MA_HT_031_HD01.spr	..\man\MA_HT_031_RD01.spr	..\man\MA_HT_031_RD01.spr
Ngua ress 22																																							..\man\MA_HT_030_RD01.spr	..\man\MA_HT_030_HW01.spr	..\man\MA_HT_030_HR01.spr	..\man\MA_HT_030_HA01.spr	..\man\MA_HT_030_HA02.spr	..\man\MA_HT_030_HM01.spr	..\man\MA_HT_030_HI01.spr	..\man\MA_HT_030_HD01.spr	..\man\MA_HT_030_RD01.spr	..\man\MA_HT_030_RD01.spr
Ngua ress 23																																							..\man\MA_HT_032_RD01.spr	..\man\MA_HT_032_HW01.spr	..\man\MA_HT_032_HR01.spr	..\man\MA_HT_032_HA01.spr	..\man\MA_HT_032_HA02.spr	..\man\MA_HT_032_HM01.spr	..\man\MA_HT_032_HI01.spr	..\man\MA_HT_032_HD01.spr	..\man\MA_HT_032_RD01.spr	..\man\MA_HT_032_RD01.spr
Ngua ress 24																																							..\man\MA_HT_033_RD01.spr	..\man\MA_HT_033_HW01.spr	..\man\MA_HT_033_HR01.spr	..\man\MA_HT_033_HA01.spr	..\man\MA_HT_033_HA02.spr	..\man\MA_HT_033_HM01.spr	..\man\MA_HT_033_HI01.spr	..\man\MA_HT_033_HD01.spr	..\man\MA_HT_033_RD01.spr	..\man\MA_HT_033_RD01.spr
Ngua ress 25																																							..\man\MA_HT_035_RD01.spr	..\man\MA_HT_035_HW01.spr	..\man\MA_HT_035_HR01.spr	..\man\MA_HT_035_HA01.spr	..\man\MA_HT_035_HA02.spr	..\man\MA_HT_035_HM01.spr	..\man\MA_HT_035_HI01.spr	..\man\MA_HT_035_HD01.spr	..\man\MA_HT_035_RD01.spr	..\man\MA_HT_035_RD01.spr
Ngua ress 26																																							..\man\MA_HT_036_RD01.spr	..\man\MA_HT_036_HW01.spr	..\man\MA_HT_036_HR01.spr	..\man\MA_HT_036_HA01.spr	..\man\MA_HT_036_HA02.spr	..\man\MA_HT_036_HM01.spr	..\man\MA_HT_036_HI01.spr	..\man\MA_HT_036_HD01.spr	..\man\MA_HT_036_RD01.spr	..\man\MA_HT_036_RD01.spr
Ngua ress 27																																							..\man\MA_HT_037_RD01.spr	..\man\MA_HT_037_HW01.spr	..\man\MA_HT_037_HR01.spr	..\man\MA_HT_037_HA01.spr	..\man\MA_HT_037_HA02.spr	..\man\MA_HT_037_HM01.spr	..\man\MA_HT_037_HI01.spr	..\man\MA_HT_037_HD01.spr	..\man\MA_HT_037_RD01.spr	..\man\MA_HT_037_RD01.spr
