EqName	SwordShieldWFreeStand	ShieldSwordWFreeStand	FreeStand1	FreeStand2	FreeStand3	MeleeWStand	RangeWStand	DoubleWStand	SwordShieldWStand	ShieldSwordWStand	GuqinWStand1	GuqinWStand2	FreeWalk	NormalWalk	MeleeWWalk	RangeWWalk	DoubleWWalk	SwordShieldWWalk	ShieldSwordWWalk	GuqinWWalk	FreeRun	NormalRun	MeleeWRun	RangeWRun	DoubleWRun	SwordShieldWRun	ShieldSwordWRun	GuqinWRun	FreeWound	MeleeWWound	RangeWWound	DoubleWWound	SwordShieldWWound	ShieldSwordWWound	GuqinWWound	FreeDie	MeleeWDie	RangeWDie	DoubleWDie	SwordShieldWDie	ShieldSwordWDie	GuqinWDie	FreeAttack	MeleeWPuncture	MeleeWCut	RangeWPuncture	RangeWCut	DoubleWPull	DoubleWPound	SwordShieldWChop	SwordShieldWCut	ShieldSwordWChop	ShieldSwordWCut	GuqinWPuncture	GuqinWCut	DartThrow	FreeMagic	MeleeWMagic	RangeWMagic	DoubleWMagic	SwordShieldWMagic	ShieldSwordWMagic	GuqinWMagic	SitDown	Jump	RideStand	RideWalk	RideRun	RideCut	RidePuncture	RideMagic	RideWound	RideDie	RideStand1	RideStand2
Ngùa 1																																																																											
Ngùa 2																																																																											
Ngùa 3																																																																											
Ngùa 4																																																																											
Ngùa 5																																																																											
Ngùa 6																																																																											
Ngùa 7																																																																											
Ngùa 8																																																																											
Ngùa 9																																																																											
Ngùa 10																																																																											
Ngùa 11																																																																											
Ngùa 12																																																																											
Ngùa sè 13																																																																											
Ngùa 14																																																																											
Ngùa 15																																																																											
Ngùa 16																																																																											
Ngùa 17																																																																											
Ngùa 18																																																																											
Ngùa 19																																																																											
Ngùa 20																																																																											
Ngùa 21																																																																											
Ngùa 22																																																																											
Ngùa 23																																																																		..\man\horse_effect_a.spr	..\man\horse_effect_a.spr	..\man\horse_effect_a.spr	..\man\horse_effect_a.spr	..\man\horse_effect_a.spr	..\man\horse_effect_a.spr	..\man\horse_effect_a.spr	..\man\horse_effect_a.spr	..\man\horse_effect_a.spr	..\man\horse_effect_a.spr
Ngùa 24																																																																											
Ngùa 25																																																																											
Ngùa 26																																																																											
Ngùa 27																																																																											
Ngùa 28																																																																											
Ngùa 29																																																																											
Ngùa 30																																																																											
Ngùa 31																																																																											
Ngùa 32																																																																											
Ngùa 33																																																																											
Ngùa 34																																																																											
Ngùa 35																																																																											
Ngùa 36																																																																											
Ngùa 37																																																																											
Ngùa 38																																																																											
