×°±¸Ãû³Æ	µ¶¶ÜÕ¾Á¢1	¶Üµ¶Õ¾Á¢1	¿ÕÊÖÕ¾Á¢1	¿ÕÊÖÕ¾Á¢2	¿ÕÊÖÕ¾Á¢3	¶ÌÎäÆ÷Õ¾Á¢	³¤ÎäÆ÷Õ¾Á¢	Ë«ÎäÆ÷Õ¾Á¢	µ¶¶ÜÎäÆ÷Õ¾Á¢	¶Üµ¶ÎäÆ÷Õ¾Á¢	ÇÙÕ½¶·Õ¾Á¢	ÇÙ·ÇÕ½¶·Õ¾Á¢	¿ÕÊÖ×ßÂ·	ÆÕÍ¨×ßÂ·	¶ÌÎäÆ÷×ßÂ·	³¤ÎäÆ÷×ßÂ·	Ë«ÎäÆ÷×ßÂ·	µ¶¶ÜÎäÆ÷×ßÂ·	¶Üµ¶ÎäÆ÷×ßÂ·	ÇÙ×ßÂ·	¿ÕÊÖÅÜ²½	ÆÕÍ¨ÅÜ²½	¶ÌÎäÆ÷ÅÜ²½	³¤ÎäÆ÷ÅÜ²½	Ë«ÎäÆ÷ÅÜ²½	µ¶¶ÜÎäÆ÷ÅÜ²½	¶Üµ¶ÎäÆ÷ÅÜ²½	ÇÙÎäÆ÷ÅÜ²½	¿ÕÊÖÊÜÉË	¶ÌÎäÆ÷ÊÜÉË	³¤ÎäÆ÷ÊÜÉË	Ë«ÎäÆ÷ÊÜÉË	µ¶¶ÜÎäÆ÷ÊÜÉË	¶Üµ¶ÎäÆ÷ÊÜÉË	ÇÙÎäÆ÷ÊÜÉË	¿ÕÊÖËÀÍö	¶ÌÎäÆ÷ËÀÍö	³¤ÎäÆ÷ËÀÍö	Ë«ÎäÆ÷ËÀÍö	µ¶¶ÜÎäÆ÷ËÀÍö	¶Üµ¶ÎäÆ÷ËÀÍö	ÇÙÎäÆ÷ËÀÍö	¿ÕÊÖ¹¥»÷	¶ÌÎäÆ÷´Ì	¶ÌÎäÆ÷¿³	³¤ÎäÆ÷´Á	³¤ÎäÆ÷Åü	Ë«ÎäÆ÷»®	Ë«ÎäÆ÷ÔÒ	µ¶¶ÜÎäÆ÷»®	µ¶¶ÜÎäÆ÷¿³	¶Üµ¶ÎäÆ÷»®	¶Üµ¶ÎäÆ÷¿³	ÇÙÎäÆ÷¹¥»÷1	ÇÙÎäÆ÷¹¥»÷2	°µÆ÷Í¶ÖÀ	¿ÕÊÖÄ§·¨	¶ÌÎäÆ÷Ä§·¨	³¤ÎäÆ÷Ä§·¨	Ë«ÎäÆ÷Ä§·¨	µ¶¶ÜÎäÆ÷Ä§·¨	¶Üµ¶ÎäÆ÷Ä§·¨	ÇÙÎäÆ÷Ä§·¨	´ò×ø	ÌøÔ¾	ÆïÂíÕ¾Á¢	ÆïÂí×ß¶¯	ÆïÂíÅÜ²½	ÆïÂí¹¥»÷Åü	ÆïÂí¹¥»÷´Ì	ÆïÂíÄ§·¨	ÆïÂíÊÜÉË	ÆïÂíËÀÍö	ÆïÂíÕ¾Á¢1	ÆïÂíÕ¾Á¢2
Ngùa 1																																																																		..\man\MA_HB_001_RD01.spr	..\man\MA_HB_001_HW01.spr	..\man\MA_HB_001_HR01.spr	..\man\MA_HB_001_HA01.spr	..\man\MA_HB_001_HA02.spr	..\man\MA_HB_001_HM01.spr	..\man\MA_HB_001_HI01.spr	..\man\MA_HB_001_HD01.spr	..\man\MA_HB_001_RD02.spr	..\man\MA_HB_001_RD03.spr
Ngùa 2																																																																		..\man\MA_HB_002_RD01.spr	..\man\MA_HB_002_HW01.spr	..\man\MA_HB_002_HR01.spr	..\man\MA_HB_002_HA01.spr	..\man\MA_HB_002_HA02.spr	..\man\MA_HB_002_HM01.spr	..\man\MA_HB_002_HI01.spr	..\man\MA_HB_002_HD01.spr	..\man\MA_HB_002_RD02.spr	..\man\MA_HB_002_RD03.spr
Ngùa 3																																																																		..\man\MA_HB_003_RD01.spr	..\man\MA_HB_003_HW01.spr	..\man\MA_HB_003_HR01.spr	..\man\MA_HB_003_HA01.spr	..\man\MA_HB_003_HA02.spr	..\man\MA_HB_003_HM01.spr	..\man\MA_HB_003_HI01.spr	..\man\MA_HB_003_HD01.spr	..\man\MA_HB_003_RD02.spr	..\man\MA_HB_003_RD03.spr
Ngùa 4																																																																		..\man\MA_HB_004_RD01.spr	..\man\MA_HB_004_HW01.spr	..\man\MA_HB_004_HR01.spr	..\man\MA_HB_004_HA01.spr	..\man\MA_HB_004_HA02.spr	..\man\MA_HB_004_HM01.spr	..\man\MA_HB_004_HI01.spr	..\man\MA_HB_004_HD01.spr	..\man\MA_HB_004_RD02.spr	..\man\MA_HB_004_RD03.spr
Ngùa 5																																																																		..\man\MA_HB_005_RD01.spr	..\man\MA_HB_005_HW01.spr	..\man\MA_HB_005_HR01.spr	..\man\MA_HB_005_HA01.spr	..\man\MA_HB_005_HA02.spr	..\man\MA_HB_005_HM01.spr	..\man\MA_HB_005_HI01.spr	..\man\MA_HB_005_HD01.spr	..\man\MA_HB_005_RD02.spr	..\man\MA_HB_005_RD03.spr
Ngùa 6																																																																		..\man\MA_HB_006_RD01.spr	..\man\MA_HB_006_HW01.spr	..\man\MA_HB_006_HR01.spr	..\man\MA_HB_006_HA01.spr	..\man\MA_HB_006_HA02.spr	..\man\MA_HB_006_HM01.spr	..\man\MA_HB_006_HI01.spr	..\man\MA_HB_006_HD01.spr	..\man\MA_HB_006_RD02.spr	..\man\MA_HB_006_RD03.spr
Ngùa 7																																																																		..\man\MA_HB_007_RD01.spr	..\man\MA_HB_007_HW01.spr	..\man\MA_HB_007_HR01.spr	..\man\MA_HB_007_HA01.spr	..\man\MA_HB_007_HA02.spr	..\man\MA_HB_007_HM01.spr	..\man\MA_HB_007_HI01.spr	..\man\MA_HB_007_HD01.spr	..\man\MA_HB_007_RD02.spr	..\man\MA_HB_007_RD03.spr
Ngùa 8																																																																		..\man\MA_HB_008_RD01.spr	..\man\MA_HB_008_HW01.spr	..\man\MA_HB_008_HR01.spr	..\man\MA_HB_008_HA01.spr	..\man\MA_HB_008_HA02.spr	..\man\MA_HB_008_HM01.spr	..\man\MA_HB_008_HI01.spr	..\man\MA_HB_008_HD01.spr	..\man\MA_HB_008_RD02.spr	..\man\MA_HB_008_RD03.spr
Ngùa 9																																																																		..\man\MA_HB_009_RD01.spr	..\man\MA_HB_009_HW01.spr	..\man\MA_HB_009_HR01.spr	..\man\MA_HB_009_HA01.spr	..\man\MA_HB_009_HA02.spr	..\man\MA_HB_009_HM01.spr	..\man\MA_HB_009_HI01.spr	..\man\MA_HB_009_HD01.spr	..\man\MA_HB_009_RD02.spr	..\man\MA_HB_009_RD03.spr
Ngùa 10																																																																		..\man\MA_HB_010_RD01.spr	..\man\MA_HB_010_HW01.spr	..\man\MA_HB_010_HR01.spr	..\man\MA_HB_010_HA01.spr	..\man\MA_HB_010_HA02.spr	..\man\MA_HB_010_HM01.spr	..\man\MA_HB_010_HI01.spr	..\man\MA_HB_010_HD01.spr	..\man\MA_HB_010_RD02.spr	..\man\MA_HB_010_RD03.spr
