EqName	SwordShieldWFreeStand	ShieldSwordWFreeStand	FreeStand1	FreeStand2	FreeStand3	MeleeWStand	RangeWStand	DoubleWStand	SwordShieldWStand	ShieldSwordWStand	GuqinWStand1	GuqinWStand2	FreeWalk	NormalWalk	MeleeWWalk	RangeWWalk	DoubleWWalk	SwordShieldWWalk	ShieldSwordWWalk	GuqinWWalk	FreeRun	NormalRun	MeleeWRun	RangeWRun	DoubleWRun	SwordShieldWRun	ShieldSwordWRun	GuqinWRun	FreeWound	MeleeWWound	RangeWWound	DoubleWWound	SwordShieldWWound	ShieldSwordWWound	GuqinWWound	FreeDie	MeleeWDie	RangeWDie	DoubleWDie	SwordShieldWDie	ShieldSwordWDie	GuqinWDie	FreeAttack	MeleeWPuncture	MeleeWCut	RangeWPuncture	RangeWCut	DoubleWPull	DoubleWPound	SwordShieldWChop	SwordShieldWCut	ShieldSwordWChop	ShieldSwordWCut	GuqinWPuncture	GuqinWCut	DartThrow	FreeMagic	MeleeWMagic	RangeWMagic	DoubleWMagic	SwordShieldWMagic	ShieldSwordWMagic	GuqinWMagic	SitDown	Jump	RideStand	RideWalk	RideRun	RideCut	RidePuncture	RideMagic	RideWound	RideDie	RideStand1	RideStand2
Phi Phong N๗ 01	pifeng01_st01.spr	pifeng01_st01.spr	pifeng01_st01.spr	pifeng01_st02.spr	pifeng01_st03.spr	pifeng01_st04.spr	pifeng01_st05.spr	pifeng01_st06.spr	pifeng01_st07.spr	pifeng01_st07.spr	pifeng01_st08.spr	pifeng01_st09.spr	pifeng01_wk01.spr	pifeng01_wk01.spr	pifeng01_wk02.spr	pifeng01_wk03.spr	pifeng01_wk04.spr	pifeng01_wk05.spr	pifeng01_wk05.spr	pifeng01_wk06.spr	pifeng01_rn01.spr	pifeng01_rn01.spr	pifeng01_rn02.spr	pifeng01_rn03.spr	pifeng01_rn04.spr	pifeng01_rn05.spr	pifeng01_rn06.spr	pifeng01_rn07.spr	pifeng01_ij01.spr	pifeng01_ij02.spr	pifeng01_ij03.spr	pifeng01_ij04.spr	pifeng01_ij05.spr	pifeng01_ij05.spr	pifeng01_ij06.spr	pifeng01_de01.spr	pifeng01_de02.spr	pifeng01_de03.spr	pifeng01_de04.spr	pifeng01_de05.spr	pifeng01_de05.spr	pifeng01_de06.spr	pifeng01_at01.spr	pifeng01_at02.spr	pifeng01_at03.spr	pifeng01_at04.spr	pifeng01_at05.spr	pifeng01_at06.spr	pifeng01_at07.spr	pifeng01_at08.spr	pifeng01_at09.spr	pifeng01_at08.spr	pifeng01_at09.spr	pifeng01_at10.spr	pifeng01_at11.spr	pifeng01_mg01.spr	pifeng01_mg02.spr	pifeng01_mg03.spr	pifeng01_mg04.spr	pifeng01_mg05.spr	pifeng01_mg06.spr	pifeng01_mg06.spr	pifeng01_mg07.spr	pifeng01_zz01.spr	pifeng01_jp01.spr	pifeng01_rd01.spr	pifeng01_hw01.spr	pifeng01_hr01.spr	pifeng01_ha01.spr	pifeng01_ha02.spr	pifeng01_hm01.spr	pifeng01_hi01.spr	pifeng01_hd01.spr	pifeng01_rd01.spr	pifeng01_rd01.spr
Phi Phong N๗ 02	pifeng02_st01.spr	pifeng02_st01.spr	pifeng02_st01.spr	pifeng02_st02.spr	pifeng02_st03.spr	pifeng02_st04.spr	pifeng02_st05.spr	pifeng02_st06.spr	pifeng02_st07.spr	pifeng02_st07.spr	pifeng02_st08.spr	pifeng02_st09.spr	pifeng02_wk01.spr	pifeng02_wk01.spr	pifeng02_wk02.spr	pifeng02_wk03.spr	pifeng02_wk04.spr	pifeng02_wk05.spr	pifeng02_wk05.spr	pifeng02_wk06.spr	pifeng02_rn01.spr	pifeng02_rn01.spr	pifeng02_rn02.spr	pifeng02_rn03.spr	pifeng02_rn04.spr	pifeng02_rn05.spr	pifeng02_rn06.spr	pifeng02_rn07.spr	pifeng02_ij01.spr	pifeng02_ij02.spr	pifeng02_ij03.spr	pifeng02_ij04.spr	pifeng02_ij05.spr	pifeng02_ij05.spr	pifeng02_ij06.spr	pifeng02_de01.spr	pifeng02_de02.spr	pifeng02_de03.spr	pifeng02_de04.spr	pifeng02_de05.spr	pifeng02_de05.spr	pifeng02_de06.spr	pifeng02_at01.spr	pifeng02_at02.spr	pifeng02_at03.spr	pifeng02_at04.spr	pifeng02_at05.spr	pifeng02_at06.spr	pifeng02_at07.spr	pifeng02_at08.spr	pifeng02_at09.spr	pifeng02_at08.spr	pifeng02_at09.spr	pifeng02_at10.spr	pifeng02_at11.spr	pifeng02_mg01.spr	pifeng02_mg02.spr	pifeng02_mg03.spr	pifeng02_mg04.spr	pifeng02_mg05.spr	pifeng02_mg06.spr	pifeng02_mg06.spr	pifeng02_mg07.spr	pifeng02_zz01.spr	pifeng02_jp01.spr	pifeng02_rd01.spr	pifeng02_hw01.spr	pifeng02_hr01.spr	pifeng02_ha01.spr	pifeng02_ha02.spr	pifeng02_hm01.spr	pifeng02_hi01.spr	pifeng02_hd01.spr	pifeng02_rd01.spr	pifeng02_rd01.spr
Phi Phong N๗ 03	pifeng03_st01.spr	pifeng03_st01.spr	pifeng03_st01.spr	pifeng03_st02.spr	pifeng03_st03.spr	pifeng03_st04.spr	pifeng03_st05.spr	pifeng03_st06.spr	pifeng03_st07.spr	pifeng03_st07.spr	pifeng03_st08.spr	pifeng03_st09.spr	pifeng03_wk01.spr	pifeng03_wk01.spr	pifeng03_wk02.spr	pifeng03_wk03.spr	pifeng03_wk04.spr	pifeng03_wk05.spr	pifeng03_wk05.spr	pifeng03_wk06.spr	pifeng03_rn01.spr	pifeng03_rn01.spr	pifeng03_rn02.spr	pifeng03_rn03.spr	pifeng03_rn04.spr	pifeng03_rn05.spr	pifeng03_rn06.spr	pifeng03_rn07.spr	pifeng03_ij01.spr	pifeng03_ij02.spr	pifeng03_ij03.spr	pifeng03_ij04.spr	pifeng03_ij05.spr	pifeng03_ij05.spr	pifeng03_ij06.spr	pifeng03_de01.spr	pifeng03_de02.spr	pifeng03_de03.spr	pifeng03_de04.spr	pifeng03_de05.spr	pifeng03_de05.spr	pifeng03_de06.spr	pifeng03_at01.spr	pifeng03_at02.spr	pifeng03_at03.spr	pifeng03_at04.spr	pifeng03_at05.spr	pifeng03_at06.spr	pifeng03_at07.spr	pifeng03_at08.spr	pifeng03_at09.spr	pifeng03_at08.spr	pifeng03_at09.spr	pifeng03_at10.spr	pifeng03_at11.spr	pifeng03_mg01.spr	pifeng03_mg02.spr	pifeng03_mg03.spr	pifeng03_mg04.spr	pifeng03_mg05.spr	pifeng03_mg06.spr	pifeng03_mg06.spr	pifeng03_mg07.spr	pifeng03_zz01.spr	pifeng03_jp01.spr	pifeng03_rd01.spr	pifeng03_hw01.spr	pifeng03_hr01.spr	pifeng03_ha01.spr	pifeng03_ha02.spr	pifeng03_hm01.spr	pifeng03_hi01.spr	pifeng03_hd01.spr	pifeng03_rd01.spr	pifeng03_rd01.spr
Phi Phong N๗ 04	pifeng04_st01.spr	pifeng04_st01.spr	pifeng04_st01.spr	pifeng04_st02.spr	pifeng04_st03.spr	pifeng04_st04.spr	pifeng04_st05.spr	pifeng04_st06.spr	pifeng04_st07.spr	pifeng04_st07.spr	pifeng04_st08.spr	pifeng04_st09.spr	pifeng04_wk01.spr	pifeng04_wk01.spr	pifeng04_wk02.spr	pifeng04_wk03.spr	pifeng04_wk04.spr	pifeng04_wk05.spr	pifeng04_wk05.spr	pifeng04_wk06.spr	pifeng04_rn01.spr	pifeng04_rn01.spr	pifeng04_rn02.spr	pifeng04_rn03.spr	pifeng04_rn04.spr	pifeng04_rn05.spr	pifeng04_rn06.spr	pifeng04_rn07.spr	pifeng04_ij01.spr	pifeng04_ij02.spr	pifeng04_ij03.spr	pifeng04_ij04.spr	pifeng04_ij05.spr	pifeng04_ij05.spr	pifeng04_ij06.spr	pifeng04_de01.spr	pifeng04_de02.spr	pifeng04_de03.spr	pifeng04_de04.spr	pifeng04_de05.spr	pifeng04_de05.spr	pifeng04_de06.spr	pifeng04_at01.spr	pifeng04_at02.spr	pifeng04_at03.spr	pifeng04_at04.spr	pifeng04_at05.spr	pifeng04_at06.spr	pifeng04_at07.spr	pifeng04_at08.spr	pifeng04_at09.spr	pifeng04_at08.spr	pifeng04_at09.spr	pifeng04_at10.spr	pifeng04_at11.spr	pifeng04_mg01.spr	pifeng04_mg02.spr	pifeng04_mg03.spr	pifeng04_mg04.spr	pifeng04_mg05.spr	pifeng04_mg06.spr	pifeng04_mg06.spr	pifeng04_mg07.spr	pifeng04_zz01.spr	pifeng04_jp01.spr	pifeng04_rd01.spr	pifeng04_hw01.spr	pifeng04_hr01.spr	pifeng04_ha01.spr	pifeng04_ha02.spr	pifeng04_hm01.spr	pifeng04_hi01.spr	pifeng04_hd01.spr	pifeng04_rd01.spr	pifeng04_rd01.spr
Phi Phong N๗ 05	pifeng05_st01.spr	pifeng05_st01.spr	pifeng05_st01.spr	pifeng05_st02.spr	pifeng05_st03.spr	pifeng05_st04.spr	pifeng05_st05.spr	pifeng05_st06.spr	pifeng05_st07.spr	pifeng05_st07.spr	pifeng05_st08.spr	pifeng05_st09.spr	pifeng05_wk01.spr	pifeng05_wk01.spr	pifeng05_wk02.spr	pifeng05_wk03.spr	pifeng05_wk04.spr	pifeng05_wk05.spr	pifeng05_wk05.spr	pifeng05_wk06.spr	pifeng05_rn01.spr	pifeng05_rn01.spr	pifeng05_rn02.spr	pifeng05_rn03.spr	pifeng05_rn04.spr	pifeng05_rn05.spr	pifeng05_rn06.spr	pifeng05_rn07.spr	pifeng05_ij01.spr	pifeng05_ij02.spr	pifeng05_ij03.spr	pifeng05_ij04.spr	pifeng05_ij05.spr	pifeng05_ij05.spr	pifeng05_ij06.spr	pifeng05_de01.spr	pifeng05_de02.spr	pifeng05_de03.spr	pifeng05_de04.spr	pifeng05_de05.spr	pifeng05_de05.spr	pifeng05_de06.spr	pifeng05_at01.spr	pifeng05_at02.spr	pifeng05_at03.spr	pifeng05_at04.spr	pifeng05_at05.spr	pifeng05_at06.spr	pifeng05_at07.spr	pifeng05_at08.spr	pifeng05_at09.spr	pifeng05_at08.spr	pifeng05_at09.spr	pifeng05_at10.spr	pifeng05_at11.spr	pifeng05_mg01.spr	pifeng05_mg02.spr	pifeng05_mg03.spr	pifeng05_mg04.spr	pifeng05_mg05.spr	pifeng05_mg06.spr	pifeng05_mg06.spr	pifeng05_mg07.spr	pifeng05_zz01.spr	pifeng05_jp01.spr	pifeng05_rd01.spr	pifeng05_hw01.spr	pifeng05_hr01.spr	pifeng05_ha01.spr	pifeng05_ha02.spr	pifeng05_hm01.spr	pifeng05_hi01.spr	pifeng05_hd01.spr	pifeng05_rd01.spr	pifeng05_rd01.spr
Phi Phong N๗ 06	pifeng06_st01.spr	pifeng06_st01.spr	pifeng06_st01.spr	pifeng06_st02.spr	pifeng06_st03.spr	pifeng06_st04.spr	pifeng06_st05.spr	pifeng06_st06.spr	pifeng06_st07.spr	pifeng06_st07.spr	pifeng06_st08.spr	pifeng06_st09.spr	pifeng06_wk01.spr	pifeng06_wk01.spr	pifeng06_wk02.spr	pifeng06_wk03.spr	pifeng06_wk04.spr	pifeng06_wk05.spr	pifeng06_wk05.spr	pifeng06_wk06.spr	pifeng06_rn01.spr	pifeng06_rn01.spr	pifeng06_rn02.spr	pifeng06_rn03.spr	pifeng06_rn04.spr	pifeng06_rn05.spr	pifeng06_rn06.spr	pifeng06_rn07.spr	pifeng06_ij01.spr	pifeng06_ij02.spr	pifeng06_ij03.spr	pifeng06_ij04.spr	pifeng06_ij05.spr	pifeng06_ij05.spr	pifeng06_ij06.spr	pifeng06_de01.spr	pifeng06_de02.spr	pifeng06_de03.spr	pifeng06_de04.spr	pifeng06_de05.spr	pifeng06_de05.spr	pifeng06_de06.spr	pifeng06_at01.spr	pifeng06_at02.spr	pifeng06_at03.spr	pifeng06_at04.spr	pifeng06_at05.spr	pifeng06_at06.spr	pifeng06_at07.spr	pifeng06_at08.spr	pifeng06_at09.spr	pifeng06_at08.spr	pifeng06_at09.spr	pifeng06_at10.spr	pifeng06_at11.spr	pifeng06_mg01.spr	pifeng06_mg02.spr	pifeng06_mg03.spr	pifeng06_mg04.spr	pifeng06_mg05.spr	pifeng06_mg06.spr	pifeng06_mg06.spr	pifeng06_mg07.spr	pifeng06_zz01.spr	pifeng06_jp01.spr	pifeng06_rd01.spr	pifeng06_hw01.spr	pifeng06_hr01.spr	pifeng06_ha01.spr	pifeng06_ha02.spr	pifeng06_hm01.spr	pifeng06_hi01.spr	pifeng06_hd01.spr	pifeng06_rd01.spr	pifeng06_rd01.spr
Phi Phong N๗ 07	pifeng07_st01.spr	pifeng07_st01.spr	pifeng07_st01.spr	pifeng07_st02.spr	pifeng07_st03.spr	pifeng07_st04.spr	pifeng07_st05.spr	pifeng07_st06.spr	pifeng07_st07.spr	pifeng07_st07.spr	pifeng07_st08.spr	pifeng07_st09.spr	pifeng07_wk01.spr	pifeng07_wk01.spr	pifeng07_wk02.spr	pifeng07_wk03.spr	pifeng07_wk04.spr	pifeng07_wk05.spr	pifeng07_wk05.spr	pifeng07_wk06.spr	pifeng07_rn01.spr	pifeng07_rn01.spr	pifeng07_rn02.spr	pifeng07_rn03.spr	pifeng07_rn04.spr	pifeng07_rn05.spr	pifeng07_rn06.spr	pifeng07_rn07.spr	pifeng07_ij01.spr	pifeng07_ij02.spr	pifeng07_ij03.spr	pifeng07_ij04.spr	pifeng07_ij05.spr	pifeng07_ij05.spr	pifeng07_ij06.spr	pifeng07_de01.spr	pifeng07_de02.spr	pifeng07_de03.spr	pifeng07_de04.spr	pifeng07_de05.spr	pifeng07_de05.spr	pifeng07_de06.spr	pifeng07_at01.spr	pifeng07_at02.spr	pifeng07_at03.spr	pifeng07_at04.spr	pifeng07_at05.spr	pifeng07_at06.spr	pifeng07_at07.spr	pifeng07_at08.spr	pifeng07_at09.spr	pifeng07_at08.spr	pifeng07_at09.spr	pifeng07_at10.spr	pifeng07_at11.spr	pifeng07_mg01.spr	pifeng07_mg02.spr	pifeng07_mg03.spr	pifeng07_mg04.spr	pifeng07_mg05.spr	pifeng07_mg06.spr	pifeng07_mg06.spr	pifeng07_mg07.spr	pifeng07_zz01.spr	pifeng07_jp01.spr	pifeng07_rd01.spr	pifeng07_hw01.spr	pifeng07_hr01.spr	pifeng07_ha01.spr	pifeng07_ha02.spr	pifeng07_hm01.spr	pifeng07_hi01.spr	pifeng07_hd01.spr	pifeng07_rd01.spr	pifeng07_rd01.spr
Phi Phong N๗ 08	pifeng08_st01.spr	pifeng08_st01.spr	pifeng08_st01.spr	pifeng08_st02.spr	pifeng08_st03.spr	pifeng08_st04.spr	pifeng08_st05.spr	pifeng08_st06.spr	pifeng08_st07.spr	pifeng08_st07.spr	pifeng08_st08.spr	pifeng08_st09.spr	pifeng08_wk01.spr	pifeng08_wk01.spr	pifeng08_wk02.spr	pifeng08_wk03.spr	pifeng08_wk04.spr	pifeng08_wk05.spr	pifeng08_wk05.spr	pifeng08_wk06.spr	pifeng08_rn01.spr	pifeng08_rn01.spr	pifeng08_rn02.spr	pifeng08_rn03.spr	pifeng08_rn04.spr	pifeng08_rn05.spr	pifeng08_rn06.spr	pifeng08_rn07.spr	pifeng08_ij01.spr	pifeng08_ij02.spr	pifeng08_ij03.spr	pifeng08_ij04.spr	pifeng08_ij05.spr	pifeng08_ij05.spr	pifeng08_ij06.spr	pifeng08_de01.spr	pifeng08_de02.spr	pifeng08_de03.spr	pifeng08_de04.spr	pifeng08_de05.spr	pifeng08_de05.spr	pifeng08_de06.spr	pifeng08_at01.spr	pifeng08_at02.spr	pifeng08_at03.spr	pifeng08_at04.spr	pifeng08_at05.spr	pifeng08_at06.spr	pifeng08_at07.spr	pifeng08_at08.spr	pifeng08_at09.spr	pifeng08_at08.spr	pifeng08_at09.spr	pifeng08_at10.spr	pifeng08_at11.spr	pifeng08_mg01.spr	pifeng08_mg02.spr	pifeng08_mg03.spr	pifeng08_mg04.spr	pifeng08_mg05.spr	pifeng08_mg06.spr	pifeng08_mg06.spr	pifeng08_mg07.spr	pifeng08_zz01.spr	pifeng08_jp01.spr	pifeng08_rd01.spr	pifeng08_hw01.spr	pifeng08_hr01.spr	pifeng08_ha01.spr	pifeng08_ha02.spr	pifeng08_hm01.spr	pifeng08_hi01.spr	pifeng08_hd01.spr	pifeng08_rd01.spr	pifeng08_rd01.spr
Phi Phong N๗ 09	pifeng09_st01.spr	pifeng09_st01.spr	pifeng09_st01.spr	pifeng09_st02.spr	pifeng09_st03.spr	pifeng09_st04.spr	pifeng09_st05.spr	pifeng09_st06.spr	pifeng09_st07.spr	pifeng09_st07.spr	pifeng09_st08.spr	pifeng09_st09.spr	pifeng09_wk01.spr	pifeng09_wk01.spr	pifeng09_wk02.spr	pifeng09_wk03.spr	pifeng09_wk04.spr	pifeng09_wk05.spr	pifeng09_wk05.spr	pifeng09_wk06.spr	pifeng09_rn01.spr	pifeng09_rn01.spr	pifeng09_rn02.spr	pifeng09_rn03.spr	pifeng09_rn04.spr	pifeng09_rn05.spr	pifeng09_rn06.spr	pifeng09_rn07.spr	pifeng09_ij01.spr	pifeng09_ij02.spr	pifeng09_ij03.spr	pifeng09_ij04.spr	pifeng09_ij05.spr	pifeng09_ij05.spr	pifeng09_ij06.spr	pifeng09_de01.spr	pifeng09_de02.spr	pifeng09_de03.spr	pifeng09_de04.spr	pifeng09_de05.spr	pifeng09_de05.spr	pifeng09_de06.spr	pifeng09_at01.spr	pifeng09_at02.spr	pifeng09_at03.spr	pifeng09_at04.spr	pifeng09_at05.spr	pifeng09_at06.spr	pifeng09_at07.spr	pifeng09_at08.spr	pifeng09_at09.spr	pifeng09_at08.spr	pifeng09_at09.spr	pifeng09_at10.spr	pifeng09_at11.spr	pifeng09_mg01.spr	pifeng09_mg02.spr	pifeng09_mg03.spr	pifeng09_mg04.spr	pifeng09_mg05.spr	pifeng09_mg06.spr	pifeng09_mg06.spr	pifeng09_mg07.spr	pifeng09_zz01.spr	pifeng09_jp01.spr	pifeng09_rd01.spr	pifeng09_hw01.spr	pifeng09_hr01.spr	pifeng09_ha01.spr	pifeng09_ha02.spr	pifeng09_hm01.spr	pifeng09_hi01.spr	pifeng09_hd01.spr	pifeng09_rd01.spr	pifeng09_rd01.spr
Phi Phong N๗ 10	pifeng10_st01.spr	pifeng10_st01.spr	pifeng10_st01.spr	pifeng10_st02.spr	pifeng10_st03.spr	pifeng10_st04.spr	pifeng10_st05.spr	pifeng10_st06.spr	pifeng10_st07.spr	pifeng10_st07.spr	pifeng10_st08.spr	pifeng10_st09.spr	pifeng10_wk01.spr	pifeng10_wk01.spr	pifeng10_wk02.spr	pifeng10_wk03.spr	pifeng10_wk04.spr	pifeng10_wk05.spr	pifeng10_wk05.spr	pifeng10_wk06.spr	pifeng10_rn01.spr	pifeng10_rn01.spr	pifeng10_rn02.spr	pifeng10_rn03.spr	pifeng10_rn04.spr	pifeng10_rn05.spr	pifeng10_rn06.spr	pifeng10_rn07.spr	pifeng10_ij01.spr	pifeng10_ij02.spr	pifeng10_ij03.spr	pifeng10_ij04.spr	pifeng10_ij05.spr	pifeng10_ij05.spr	pifeng10_ij06.spr	pifeng10_de01.spr	pifeng10_de02.spr	pifeng10_de03.spr	pifeng10_de04.spr	pifeng10_de05.spr	pifeng10_de05.spr	pifeng10_de06.spr	pifeng10_at01.spr	pifeng10_at02.spr	pifeng10_at03.spr	pifeng10_at04.spr	pifeng10_at05.spr	pifeng10_at06.spr	pifeng10_at07.spr	pifeng10_at08.spr	pifeng10_at09.spr	pifeng10_at08.spr	pifeng10_at09.spr	pifeng10_at10.spr	pifeng10_at11.spr	pifeng10_mg01.spr	pifeng10_mg02.spr	pifeng10_mg03.spr	pifeng10_mg04.spr	pifeng10_mg05.spr	pifeng10_mg06.spr	pifeng10_mg06.spr	pifeng10_mg07.spr	pifeng10_zz01.spr	pifeng10_jp01.spr	pifeng10_rd01.spr	pifeng10_hw01.spr	pifeng10_hr01.spr	pifeng10_ha01.spr	pifeng10_ha02.spr	pifeng10_hm01.spr	pifeng10_hi01.spr	pifeng10_hd01.spr	pifeng10_rd01.spr	pifeng10_rd01.spr
