Status	ÎÄ¼şÃû	ÀàĞÍ	²¥·Å·½Ê½	Ö÷½ÇÉíºó¿ªÊ¼Ö¡	Ö÷½ÇÉíºó½áÊøÖ¡	¶¯»­×ÜÖ¡Êı	¶¯»­×Ü·½ÏòÊı	¶¯»­Ö¡¼ä¸ô	Í¼·Ö¼¸°ê	ËµÃ÷£ºÍ¼Ö»ÄÜ·Ö1¡¢2¡¢3°ê	x	x		
Status1	Special	Head	Loop			8	1	50	1	Ñ£ÔÎ	x			
Status2	Special	Foot	Loop			8	1	50	1	ÖĞ¶¾	x			
Status3	Special	Body	Loop	0	29	8	1	50	1	±ù¶³	x			
Status4	Special	Body	Loop	10	20	8	1	50	1	È¼ÉÕ	x			
Status5	Special	Body				8	1	50	1	»ìÂÒ	x			
Status6	\spr\skill\Îå¶¾½Ì\wdu_06_ÎŞĞÎ¹Æ.spr	Foot	Loop	0	0	30	1	18	1	ÎŞĞÎ¹Æ	bua 5 doc 100 1 80 1			
Status7	\spr\skill\Îå¶¾½Ì\wdu_07_¶¾¶Ü.spr	Body	Loop	0	15	20	1	12	1	¶¾¶Ü	bua 5 doc			
Status8	\spr\skill\Îå¶¾½Ì\wdu_08_±ùÀ¶Ğş¾§.spr	Head	Loop	0	0	30	1	18	1	±ùÀ¶Ğş¾§	bua 5 doc			
Status9	\spr\skill\Îå¶¾½Ì\wdu_09_À×¶¯¾ÅÌì.spr	Head	Loop	0	0	30	1	18	1	À×¶¯¾ÅÌì	bua 5 doc			
Status10	\spr\skill\Îå¶¾½Ì\wdu_10_³àÑæÊ´Ìì.spr	Head	Loop	0	0	30	1	18	1	³àÑæÊ´Ìì	bua 5 doc			
Status11	\spr\skill\Îå¶¾½Ì\wdu_11_Íò¹ÆÊ´ĞÄ.spr	Head	Loop	0	0	30	1	18	1	Íò¹ÆÊ´ĞÄ	bua 5 doc			
Status12	\spr\skill\Îå¶¾½Ì\wdu_12_ÒÆ»¨½ÓÓñ.spr	Head	Loop	0	0	20	1	12	1	ÒÆ»¨½ÓÓñ	bua 5 doc			
Status13	\spr\skill\À¥ÂØ\kl_06_´óÀËÊ´¿Õ.spr	Body	Loop	5	15	20	1	12	1	´óÀË×Ç¿Õ	kh¸ng c«n l«n			
Status14	\spr\skill\À¥ÂØ\kl_07_ÒıÀ×¶İµØ.spr	Body	Loop	7	22	30	1	18	1	ÒıÀ×¶İµØ				
Status15	\spr\skill\À¥ÂØ\kl_08_ÁÒ»ğºì³¾.spr	Body	Loop	7	22	30	1	18	1	ÁÒ»ğºì³¾				
Status16	\spr\skill\À¥ÂØ\kl_09_Ä¾Öé±ø½â.spr	Body	Loop	40	40	40	1	16	1	Ä¾Öé±ø½â	hoa l¸ c«n l«n			
Status17	\spr\skill\À¥ÂØ\kl_10_»¬²»ÁôÊÖ.spr	Body	Loop	4	12	15	1	12	1	»¬²»ÁôÊÖ	Thanh phong phï			
Status18	\spr\skill\Îäµ±\wd_08_ÈË½£ºÏÒ».spr	Body	Loop	7	22	30	1	18	1	ÈË½£ºÏÒ»				
Status19	\spr\skill\Îäµ±\wd_06_×øÍüÎŞÎÒ.spr	Head	Loop	0	0	36	1	21	1	×øÍüÎŞÎÒ	toa vong			
Status20	\spr\skill\Îäµ±\wd_07_ÆßĞÇÕó.spr	Foot	Loop	0	0	30	1	24	1	ÆßĞÇÕó	ThÊt tinh trËn			
Status21	\spr\skill\ÌìÈÌ\mag_tr_06_»ğ¶Ü.spr	Body	Loop	4	12	15	1	18	1	»ğ¶Ü				
Status22	\spr\skill\ÌìÈÌ\mag_tr_07_ÍµÌì»»ÈÕ.spr	Head	Loop	0	0	15	1	3	1	ÍµÌì»»ÈÕ				
Status23	\spr\skill\ÌìÈÌ\mag_tr_08_ÎüĞÇ´ó·¨.spr	Head	Loop	0	0	15	1	3	1	ÎüĞÇ´ó·¨				
Status24	\spr\skill\ÌìÈÌ\mag_tr_09_½èÁ¦´òÁ¦.spr	Head	Loop	0	0	15	1	3	1	½èÁ¦´òÁ¦				
Status25	\spr\skill\ÌìÈÌ\mag_tr_10_Ê´¹ÇÑªØğ.spr	Head	Loop	0	0	15	1	30	1	Ê´¹ÇÑªØğ				
Status26	\spr\skill\ÌìÈÌ\mag_tr_11_»ÃÓ°·Éºü.spr	Head	Loop	0	0	15	1	12	1	»ÃÓ°·Éºü				
Status27	\spr\skill\ÌìÈÌ\mag_tr_12_·ÉºèÎŞ¼£.spr	Head	Loop	0	0	15	1	12	1	·ÉºèÎŞÒà				
Status28	\spr\skill\ÌìÈÌ\mag_tr_13_À÷Ä§¶á»ê.spr	Head	Loop	0	0	15	1	12	1	À÷Ä§¶á»ê				
Status29	\spr\skill\ÌìÈÌ\mag_tr_14_ÎåĞĞÕó.spr	Foot	Loop	0	0	15	1	18	1	ÎåĞĞÕó				
Status30	\spr\skill\ÌìÈÌ\mag_tr_15_ÌìÄ§½âÌå.spr	Head	Loop	0	0	15	1	15	1	ÌìÄ§½âÌå	thien ma giai the	vong dau		
Status31	\spr\skill\´äÑÌ\mag_cy_06_Ñ©¶Ü.spr	Body	Loop	4	12	16	1	18	1	Ñ©¶Ü				
Status32	\spr\skill\´äÑÌ\mag_cy_07_±ù¶Ü.spr	Body	Loop	4	12	16	1	18	1	±ù¶Ü				
Status33	\spr\skill\´äÑÌ\mag_cy_09_Ñ©Ó°.spr	Body	Loop	16	16	16	1	15	1	Ñ©Ó°	tuyÕt ¶nh			
Status34	\spr\skill\´äÑÌ\mag_cy_12_ÉãĞÄÊõ.spr	Head	Loop	0	0	18	1	6	1	ÉãĞÄÊõ				
Status35	\spr\skill\ÌÆÃÅ\tm_01_¶¾¸½¼Ó.spr	Head	Loop	0	0	30	1	18	1	¶¾¸½¼Ó				
Status36	\spr\skill\ÌÆÃÅ\tm_02_±ù¸½¼Ó.spr	Head	Loop	0	0	30	1	18	1	±ù¸½¼Ó				
Status37	\spr\skill\¶ëáÒ\mag_em_06_Çï·çÒ¶.spr	Foot	Loop	0	0	16	1	16	1	Çï·çÒ¶	vong chan	vong duoi chan		
Status38	\spr\skill\¶ëáÒ\mag_em_07_×íÏÉÍûÔÂ.spr	Foot	Loop	0	0	16	1	16	1	×íÏÉÍûÔÂ	vong chan	vong duoi chan		
Status39	\spr\skill\¶ëáÒ\mag_em_08_Á÷Ë®.spr	Foot	Loop	0	0	16	1	16	1	Á÷Ë®	L­u Thñy 	vong duoi chan		
Status40	\spr\skill\¶ëáÒ\mag_em_09_ÃÎµû.spr	Foot	Loop	0	0	16	1	16	1	ÃÎµû	Méng §iÖp 	vong duoi chan		
Status41	\spr\skill\¶ëáÒ\mag_em_10_·ğĞÄ´ÈÓÓ.spr	Foot	Loop	0	0	15	1	15	1	·ğĞÄ´ÈÓÓ	PhËt T©m Tõ H÷u			
Status42	\spr\skill\¶ëáÒ\mag_em_11_·çÓêÆ®Ïã.spr	Head	Loop	0	0	4	1	6	1	·çÓêÆ®Ïã				
Status43	\spr\skill\Ø¤°ï\mag_gb_11_×íµû¿ñÎè.spr	Body	Loop	4	12	16	1	19	1	×íµû¿ñÎè	ty diep cuong vu			
Status44	\spr\skill\Ø¤°ï\mag_gb_12_´ò¹·Õó.spr	Foot	Loop	0	0	8	1	19	1	´ò¹·Õó	da cau bong			
Status45	\spr\skill\ÉÙÁÖ\sl_07_ÂŞººÕó.spr	Foot	Loop	0	0	10	1	8	1	ÂŞººÕó	La H¸n TrËn	vong duoi chan		
Status46	\spr\skill\ÌìÍõ\tw_01_»ğÑÛ½ğ¾¦.spr	Head	Loop	0	0	10	1	16	1	»ğÑÛ½ğ¾¦				
Status47	\spr\skill\ÌìÍõ\tw_02_ÌìÍõÕ½Òâ.spr	Body	Loop	20	20	20	1	40	1	ÌìÍõÕ½Òâ				
Status48	\spr\skill\ÌìÍõ\tw_03_Õ´ÒÂÊ®°Ëµø.spr	Body	Loop	5	15	20	1	40	1	Õ´ÒÂÊ®°Ëµø				
Status49	\spr\skill\ÌìÍõ\tw_04_½ğÖÓÕÖ.spr	Body	Loop	5	15	20	1	20	1	½ğÖÓÕÖ				
Status50	\spr\skill\²¹³ä\mag_spe_Ñ£ÔÎ.spr	Head	Loop	0	0	10	1	10	1	Ñ£ÔÎĞ§¹û				
Status51	\spr\skill\²¹³ä\ĞÒÔËĞÇ.spr	Foot	Loop	0	0	15	1	15	1	ĞÒÔËĞÇ	Vßng ngò s¾c	vong duoi chan		
Status52	\spr\skill\others\c.spr	Body	Loop	0	0	13	1	12	1	²»¶¯Ã÷Íõ	Bêt §éng Minh V­¬ng			
Status53	\spr\skill\sl\»ÛÑÛÖä.spr	Head	Loop	0	0	15	1	15	1	ÈçÀ´Ç§Ò¶	nh­ lai thiªn ®iÖp	vong dau		
Status54	\spr\skill\wu\»¯ÏÕÎªÒÄ.spr	Head	Loop	0	0	15	1	15	1	ÈçÀ´Ç§Ò¶	bua ptvl			
Status55	\spr\skill\em\em_²¤ÂÜĞÄ¾­.spr	Body	Loop	0	0	200	1	120	1	ÇåÒôèó³ª	Thanh ¢m Ph¹n X­íng			
Status56	\spr\skill\em\ÇáÒôèó³ª.spr	Foot	Loop	0	0	20	1	12	1	3h	khang tat ca nga my	vong duoi chan		
Status57	\spr\skill\gb\»¬²»ÁôÊÖ.spr	Body	Loop	0	0	15	1	12	1	»¬²»ÁôÊÖ	hoat bat luu thu			
Status58	\spr\skill\tr\±¯ËÖÇå·ç.spr	Body	Loop	0	0	15	1	12	1	»¬²»ÁôÊÖ				
Status59	\spr\skill\gb\´ò¹·Õó.spr	Foot	Loop	0	0	18	1	12	1	»¬²»ÁôÊÖ	hoat bat luu thu			
Status60	\spr\skill\À¥ÂØ\Bz_dian3_±¬Õ¨.spr	Body	Loop	0	0	8	1	8	1	»¬²»ÁôÊÖ				
Status61	\spr\skill\À¥ÂØ\kl_15_ËêÔÂÎŞÇé·û.spr	Body	Loop	0	0	20	1	12	1	»¬²»ÁôÊÖ				
Status62	\spr\skill\À¥ÂØ\kl_14_ÆúĞÄ·û.spr	Body	Loop	0	0	20	1	12	1	ÃÔ×Ù»ÃÓ°				
Status63	\spr\skill\others\±¼Á÷µ½º£.spr	Head	Loop	0	0	15	1	15	1	ÈçÀ´Ç§Ò¶	bua			
Status64	\spr\skill\others\¹ÂÄ¾¶İÀ×.spr	Head	Loop	0	0	15	1	15	1	ÈçÀ´Ç§Ò¶	bua			
Status65	\spr\skill\others\½ğÎÚÓ³Ñ©.spr	Head	Loop	0	0	15	1	15	1	ÈçÀ´Ç§Ò¶	bua			
Status66	\spr\skill\others\¿üÄ¾ĞÇÕÕ.spr	Head	Loop	0	0	15	1	15	1	ÈçÀ´Ç§Ò¶	bua			
Status67	\spr\skill\others\lucky.spr	Head	Loop	0	0	15	1	50	1	ĞÒÔË				
Status68	\spr\skill\bm\Äàöú.spr	Body	Loop	0	0	15	1	50	1	Äàöú¹¦				
Status69	\spr\skill\bm\¹êÃü.spr	Head	Loop	0	0	15	1	50	1	³¤Éú¹êÃü¾÷				
Status70	\spr\skill\bm\Áéºü.spr	Head	Loop	0	0	15	1	50	1	Áéºü¿ªÉñÊõ				
Status71	\spr\skill\bm\¼¦È®.spr	Foot	Loop	0	0	15	1	50	1	¼¦È®ÉıÌì				
Status72	\spr\skill\gongcheng\1jia.spr	Foot	Loop	0	0	14	1	50	1	¹¥³ÇµÚÒ»Ãû				
Status73	\spr\skill\zhongqiu\zq_sl_001.spr	Head	Loop	0	0	10	1	15	1	ÍÅÔ²±ı				
Status74	\spr\skill\zhongqiu\zq_sl_002.spr	Head	Loop	0	0	10	1	15	1	¹ğ»¨¾Æ				
Status75	\spr\skill\christmas\star1.spr	Head	Loop	0	0	10	1	100	1	½ÚÈÕµÆ	hoa tren dau			
Status76	\spr\skill\christmas\star2.spr	Head	Loop	0	0	10	1	100	1	½ÚÈÕµÆ	hoa tren dau			
Status77	\spr\skill\christmas\star2.spr	MiniMap	Loop	0	0	10	1	100	1	Ğ¡µØÍ¼¸ßÁÁÏÔÊ¾				
Status78	\spr\skill\task\taskfinish.spr	Foot	Loop	0	0	27	1	50	1	ÈÎÎñÍê³É				
Status79	\spr\skill\special\skill_heart.spr	Body	Loop	0	0	20	1	40	1	¼¼ÄÜ×´Ì¬				
Status80	\spr\skill\²¹³ä\mag_spe_µÇÂ¼.spr	Foot	Loop	0	0	20	1	50	1	BossÉ±ÊÖÈÎÎñÍê³É				
Status81	\spr\skill\others\title_yl.spr	Foot	Loop	0	0	10	1	30	1	ÎäÁÖ´ó»á¹â»·1				
Status82	\spr\skill\others\title_bj.spr	Foot	Loop	0	0	10	1	30	1	ÎäÁÖ´ó»á¹â»·2				
Status83	\spr\skill\others\title_zw.spr	Foot	Loop	0	0	11	1	30	1	ÎäÁÖ´ó»á¹â»·3				
Status84	\spr\skill\others\title_dg.spr	Foot	Loop	0	0	10	1	30	1	ÎäÁÖ´ó»á¹â»·4				
Status85	\spr\skill\others\title_ab.spr	Foot	Loop	0	0	10	1	30	1	ÎäÁÖ´ó»á¹â»·5				
Status86	\spr\skill\kl\Ò»ÆøÈıÇå·û.spr	Head	Loop	0	0	15	1	30	1	ĞşÌìÎŞ¼«				
Status87	\spr\skill\partner\Í¬°éÆÕ·À.spr	Head	Loop	0	0	1	1	1	1	Í¬°é¾ø¼¼				
Status88	\spr\skill\partner\Í¬°é¶¾·À.spr	Head	Loop	0	0	1	1	1	1	Í¬°é¾ø¼¼				
Status89	\spr\skill\partner\Í¬°é±ù·À.spr	Head	Loop	0	0	1	1	1	1	Í¬°é¾ø¼¼				
Status90	\spr\skill\partner\Í¬°é»ğ·À.spr	Head	Loop	0	0	1	1	1	1	Í¬°é¾ø¼¼				
Status91	\spr\skill\partner\Í¬°éÀ×·À.spr	Head	Loop	0	0	1	1	1	1	Í¬°é¾ø¼¼				
Status92	\spr\skill\partner\Í¶Ê¯¶¾.spr	Foot	Loop	0	0	15	1	30	1	Í¬°é¾ø¼¼				
Status93	\spr\skill\partner\Í¶Ê¯±ù.spr	Foot	Loop	0	0	15	1	30	1	Í¬°é¾ø¼¼				
Status94	\spr\skill\partner\Í¶Ê¯»ğ.spr	Foot	Loop	0	0	15	1	30	1	Í¬°é¾ø¼¼				
Status95	\spr\skill\partner\ÇàÄ¾¹¦.spr	Foot	Loop	0	0	15	1	30	1	Í¬°é¾ø¼¼				
Status96	\spr\skill\partner\skill_bairenzhan.spr	Foot	Loop	0	0	15	1	30	1	°ÙÈËÕ¶				
Status97	\spr\skill\partner\skill_qianrenzhan.spr	Body	Loop	0	0	20	1	40	1	Ç§ÈËÕ¶				
Status98	\spr\skill\partner\skill_zhanshouzhe.spr	Head	Loop	0	0	15	1	30	1	Õ¶Ê×Õß				
Status99	\spr\skill\partner\skill_zhanshouwang.spr	Body	Loop	0	0	20	1	40	1	Õ¶Ê×Íõ				
Status100	\spr\skill\task\skill_mupai.spr	Foot	Loop	0	0	10	1	30	1	Ä¾ÅÆĞÅÊ¹				
Status101	\spr\skill\task\skill_tongpai.spr	Foot	Loop	0	0	10	1	30	1	Í­ÅÆĞÅÊ¹				
Status102	\spr\skill\task\skill_yinpai.spr	Foot	Loop	0	0	11	1	30	1	ÒøÅÆĞÅÊ¹				
Status103	\spr\skill\task\skill_jinpai.spr	Foot	Loop	0	0	10	1	30	1	½ğÅÆĞÅÊ¹				
Status104	\spr\skill\task\skill_yucijinpai.spr	Foot	Loop	0	0	10	1	30	1	Óù´Í½ğÅÆĞÅÊ¹	Rång vµng			
Status105	\spr\skill\task\randomtask.spr	Head	Loop	0	0	20	1	37	1	Ëæ»úÈÎÎñ×´Ì¬				
Status106	\spr\skill\²¹³ä\mag_spe_Ñ£ÔÎ.spr	Head	Loop	0	0	10	1	10	1	Ê¥µ®Ñ£ÔÎ				
Status107	\spr\skill\top_tong\bangzhu.spr	Foot	Loop	0	0	16	1	35	1	ÎäÁÖµÚÒ»°ï°ïÖ÷				
Status108	\spr\skill\top_tong\bangzhong.spr	Foot	Loop	0	0	16	1	35	1	ÎäÁÖµÚÒ»°ï°ïÖÚ				
Status109	\spr\skill\special\Õ¨µ¯ÈË±êÊ¾.spr	Head	Loop	0	0	18	1	50	1	Õ¨µ¯ÈË±êÊ¾				
Status110	\spr\skill\tw\µ¹ĞéÌì.spr	Body	Loop	0	0	28	1	15	1	µ¹ĞéÌì_ÎŞÊÓ×çÖäÌØĞ§				
Status111	\spr\skill\sl\´ó³ËÈçÀ´Öä.spr	Body	Loop	0	0	25	1	25	1	´ó³ËÈçÀ´Öä_·´µ¯×çÖäÌØĞ§				
Status112	\spr\skill\others\²ÔÓ¬¹â»·.spr	Body	Loop	0	0	11	1	11	1	²ÔÓ¬¹â»·				
Status113	\spr\skill\others\Ïã½¶¹â»·.spr	Foot	Loop	0	0	21	1	31	1	Ïã½¶¹â»·				
Status114	\spr\skill\others\²ÔÓ¥¹â»·.spr	Body	Loop	0	0	21	1	63	1	²ÔÓ¥¹â»·				
Status115	\spr\skill\others\»ğÑæ¹â»·.spr	Foot	Loop	0	0	13	1	18	1	»ğÑæ¹â»·				
Status116	\spr\skill\others\°µÓ°¹â»·.spr	Foot	Loop	0	0	10	1	16	1	°µÓ°¹â»·				
Status117	\spr\skill\others\Æß½£¹â»·.spr	Foot	Loop	0	0	20	1	34	1	Æß½£¹â»·				
Status118	\spr\skill\wu\ÎüĞÇ÷Ê.spr	Body	Loop	0	0	25	1	20	1	ÎüĞÇ÷Ê				
Status119	\spr\skill\em\±ÕÔÂ·÷³¾.spr	Foot	Loop	0	0	25	1	20	1	±ÕÔÂ·÷³¾				
Status120	\spr\skill\gb\»ìÌìÆø¹¦.spr	Head	Loop	0	0	11	1	20	1	»ìÌìÆø¹¦				
Status121	\spr\skill\tr\Ä§ÒôÊÉÆÇ.spr	Body	Loop	0	0	20	1	40	1	Ä§ÒôÊÉÆÇ				
Status122	\spr\skill\wd\³öÓÙ²»È¾.spr	Body	Loop	0	0	27	1	35	1	³öÓÙ²»È¾	xuÊt ø bÊt nhiÔm			
Status123	\spr\skill\kl\Á½ÒÇÕæÆø.spr	Body	Loop	0	0	23	1	20	1	Á½ÒÇÕæÆø				
Status124	\spr\skill\others\Áé²ÎÁ¦.spr	Foot	Loop	0	0	17	1	20	1	Áé²ÎÁ¦				
Status125	\spr\skill\others\totempole_phoenix.spr	Head	Loop	0	0	18	1	90	1	·ï»ËÓ¡				
Status126	\spr\skill\others\totempole_fetch.spr	Head	Loop	0	0	25	1	50	1	¶ÍÎä»ê				
Status127	\spr\skill\others\totempole_buymen.spr	Head	Loop	0	0	17	1	147	1	ÌÕÖìÇ®´ü				
Status128	\spr\skill\others\totempole_children.spr	Head	Loop	0	0	18	1	50	1	ÊÌÎÀÓª				
Status129	\spr\skill\others\totempole_pith.spr	Head	Loop	0	0	9	1	130	1	Áé²ÎÖ®Á¦				
Status130	\spr\skill\others\totempole_proficient.spr	Head	Loop	0	0	16	1	50	1	»Æ½ğÁî				
Status131	\spr\skill\others\totempole_mask.spr	Head	Loop	0	0	20	1	70	1	ÎŞË«É±Õó				
Status132	\spr\skill\others\Î±×°.spr	Body	Loop	0	0	15	1	70	1	Î±×°¼¼ÄÜ				
Status133	\spr\skill\task\wenhao.spr	Head	Loop	0	0	16	1	37	1	ÇéÈË½ÚÎÊºÅ				
Status134	\spr\skill\task\process_000.spr	Foot	Loop	0	0	20	1	60	1	ÇéÈË½Ú½ø¶ÈÌõ				
Status135	\spr\skill\others\ib_citymaster.spr	Foot	Loop	0	0	10	1	30	1	°×½ğ×°±¸Ğã				
Status136	\spr\vongsangjxsolo\bachchienbachthang.spr	Head	Loop	0	0	15	1	35	1	ËÎ½ğÕÑÎäĞ£Î¾				1
Status137	\spr\vongsangjxsolo\doccocaubai.spr	Head	Loop	0	0	15	1	35	1	ËÎ½ğÓğÁÖÖĞÀÉ½«				2
Status138	\spr\vongsangjxsolo\hoangdobanghiep.spr	Head	Loop	0	0	15	1	35	1	ËÎ½ğæôÆï´ó½«¾ü				3
Status139	\spr\vongsangjxsolo\hungbathienha.spr	Head	Loop	0	0	15	1	35	1	ËÎ½ğ°²°î´ó½«¾ü				4
Status140	\spr\vongsangjxsolo\thienhavodich.spr	Head	Loop	0	0	15	1	35	1	ËÎ½ğ¶¨¹úÔªË§				5
Status141	\spr\vongsangjxsolo\thienhavosong.spr	Head	Loop	0	0	15	1	35	1	½ğÖÓÕÖ				6
Status142	\spr\vongsangjxsolo\vangdanhgiangho.spr	Head	Loop	0	0	15	1	35	1	¾«Ó¢Èü¹Ú¾ü				7
Status143	\spr\vongsangjxsolo\volamminhchu.spr	Head	Loop	0	0	15	1	35	1	¾«Ó¢ÈüÑÇ¾ü				8
Status144	\spr\vongsangjxsolo\vong1.spr	Head	Loop	0	0	15	1	35	1	¾«Ó¢Èü¼¾¾ü				9
Status145	\spr\skill\others\vip_guanghuan.spr	Foot	Loop	0	0	15	1	15	1	vipÕÊºÅ¹â»·				
Status146	\spr\vongsangjxsolo\vong2.spr	Foot	Loop	0	0	20	1	80	1	ºìÉ«¹â»·				10
Status147	\spr\vongsangjxsolo\vong3.spr	Foot	Loop	0	0	20	1	80	1	ÂÌÉ«¹â»·				11
Status148	\spr\vongsangjxsolo\vong4.spr	Foot	Loop	0	0	20	1	80	1	À¶É«¹â»·				12
Status149	\spr\skill\others\jinguanhuan.spr	Foot	Loop	0	0	15	1	15	1	½ğÉ«¹â»·				
